Peoria County, Illinois, Average Temperature
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
200001,25.0,2.1
200002,35.6,8.6
200003,46.2,8.0
200004,51.3,0.8
200005,64.3,2.9
200006,69.1,-1.7
200007,72.6,-2.4
200008,74.2,1.5
200009,66.1,0.8
200010,57.2,3.4
200011,37.0,-2.4
200012,15.1,-12.3
200101,23.5,0.6
200102,27.6,0.6
200103,35.6,-2.6
200104,56.5,6.0
200105,63.8,2.4
200106,69.2,-1.6
200107,75.7,0.7
200108,73.8,1.1
200109,63.2,-2.1
200110,52.6,-1.2
200111,49.9,10.5
200112,34.0,6.6
200201,32.4,9.5
200202,32.8,5.8
200203,36.3,-1.9
200204,51.7,1.2
200205,58.5,-2.9
200206,73.7,2.9
200207,78.0,3.0
200208,74.1,1.4
200209,68.1,2.8
200210,50.6,-3.2
200211,38.1,-1.3
200212,31.2,3.8
200301,21.4,-1.5
200302,24.3,-2.7
200303,39.4,1.2
200304,52.6,2.1
200305,60.3,-1.1
200306,67.7,-3.1
200307,74.4,-0.6
200308,74.9,2.2
200309,63.4,-1.9
200310,53.7,-0.1
200311,42.4,3.0
200312,32.3,4.9
200401,22.4,-0.5
200402,28.7,1.7
200403,44.0,5.8
200404,53.4,2.9
200405,65.0,3.6
200406,69.5,-1.3
200407,72.3,-2.7
200408,67.4,-5.3
200409,67.2,1.9
200410,54.0,0.2
200411,43.6,4.2
200412,29.7,2.3
200501,26.3,3.4
200502,34.8,7.8
200503,37.8,-0.4
200504,55.0,4.5
200505,60.8,-0.6
200506,75.7,4.9
200507,76.6,1.6
200508,74.7,2.0
200509,70.5,5.2
200510,55.0,1.2
200511,42.8,3.4
200512,23.3,-4.1
200601,36.6,13.7
200602,28.9,1.9
200603,40.3,2.1
200604,55.7,5.2
200605,62.3,0.9
200606,71.1,0.3
200607,77.9,2.9
200608,73.8,1.1
200609,63.6,-1.7
200610,50.1,-3.7
200611,43.7,4.3
200612,32.9,5.5
200701,27.6,4.7
200702,18.6,-8.4
200703,46.4,8.2
200704,49.5,-1.0
200705,67.8,6.4
200706,72.6,1.8
200707,72.7,-2.3
200708,77.2,4.5
200709,69.3,4.0
200710,59.2,5.4
200711,40.6,1.2
200712,27.6,0.2
200801,24.5,1.6
200802,23.3,-3.7
200803,37.6,-0.6
200804,51.2,0.7
200805,59.1,-2.3
200806,72.9,2.1
200807,74.2,-0.8
200808,71.4,-1.3
200809,66.6,1.3
200810,53.5,-0.3
200811,40.1,0.7
200812,23.6,-3.8
200901,17.2,-5.7
200902,30.7,3.7
200903,41.2,3.0
200904,50.1,-0.4
200905,62.2,0.8
200906,72.2,1.4
200907,69.8,-5.2
200908,69.8,-2.9
200909,65.0,-0.3
200910,48.8,-5.0
200911,46.1,6.7
200912,27.2,-0.2
201001,18.6,-4.3
201002,23.4,-3.6
201003,43.2,5.0
201004,58.7,8.2
201005,62.8,1.4
201006,74.3,3.5
201007,77.5,2.5
201008,75.8,3.1
201009,66.5,1.2
201010,55.2,1.4
201011,42.7,3.3
201012,22.3,-5.1
201101,20.3,-2.6
201102,27.8,0.8
201103,40.3,2.1
201104,51.0,0.5
201105,61.8,0.4
201106,72.0,1.2
201107,80.0,5.0
201108,74.5,1.8
201109,62.7,-2.6
201110,54.5,0.7
201111,44.0,4.6
201112,34.6,7.2
201201,30.5,7.6
201202,34.0,7.0
201203,54.3,16.1
201204,53.7,3.2
201205,67.2,5.8
201206,72.2,1.4
201207,81.1,6.1
201208,72.6,-0.1
201209,64.0,-1.3
201210,51.2,-2.6
201211,40.6,1.2
201212,34.8,7.4
201301,27.2,4.3
201302,28.2,1.2
201303,33.2,-5.0
201304,49.3,-1.2
201305,63.7,2.3
201306,71.1,0.3
201307,73.5,-1.5
201308,73.4,0.7
201309,68.5,3.2
201310,53.8,0.0
201311,37.5,-1.9
201312,23.7,-3.7
201401,17.4,-5.5
201402,16.7,-10.3
201403,33.2,-5.0
201404,52.0,1.5
201405,64.6,3.2
201406,73.4,2.6
201407,70.9,-4.1
201408,74.1,1.4
201409,65.0,-0.3
201410,54.1,0.3
201411,34.1,-5.3
201412,32.8,5.4
201501,24.6,1.7
201502,17.8,-9.2
201503,39.2,1.0
201504,54.8,4.3
201505,65.7,4.3
201506,71.7,0.9
201507,74.7,-0.3
201508,71.8,-0.9
201509,71.2,5.9
201510,55.8,2.0
201511,46.6,7.2
201512,40.2,12.8
201601,25.6,2.7
201602,32.3,5.3
201603,46.4,8.2
201604,52.2,1.7
201605,62.3,0.9
201606,74.3,3.5
201607,74.9,-0.1
201608,75.0,2.3
201609,70.6,5.3
201610,59.0,5.2
201611,48.2,8.8
201612,27.6,0.2
201701,29.9,7.0
201702,40.1,13.1
201703,41.7,3.5
201704,55.9,5.4
201705,61.4,0.0
201706,72.7,1.9
201707,75.6,0.6
201708,70.5,-2.2
201709,68.8,3.5
201710,57.6,3.8
201711,40.6,1.2
201712,28.1,0.7
201801,23.1,0.2
201802,28.8,1.8
201803,38.0,-0.2
201804,44.1,-6.4
201805,71.0,9.6
201806,75.0,4.2
201807,74.6,-0.4
201808,74.6,1.9
201809,69.8,4.5
201810,52.9,-0.9
201811,34.3,-5.1
201812,33.3,5.9
201901,22.3,-0.6
201902,26.0,-1.0
201903,36.8,-1.4
201904,51.6,1.1
201905,61.5,0.1
201906,71.0,0.2
201907,77.7,2.7
201908,72.2,-0.5
201909,71.1,5.8
201910,51.8,-2.0
201911,35.8,-3.6
201912,34.6,7.2
202001,29.4,6.5
