Sedgwick County, Kansas, Average Temperature
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
200001,34.1,3.6
200002,42.6,6.8
200003,48.5,3.7
200004,55.3,-0.4
200005,68.4,3.1
200006,73.2,-2.1
200007,80.0,-0.6
200008,86.8,7.4
200009,73.9,3.1
200010,62.3,3.4
200011,39.8,-4.5
200012,24.2,-9.4
200101,33.2,2.7
200102,33.5,-2.3
200103,43.0,-1.8
200104,61.0,5.3
200105,67.6,2.3
200106,75.4,0.1
200107,86.0,5.4
200108,82.6,3.2
200109,69.9,-0.9
200110,59.0,0.1
200111,51.1,6.8
200112,39.4,5.8
200201,36.1,5.6
200202,38.0,2.2
200203,42.3,-2.5
200204,58.2,2.5
200205,63.6,-1.7
200206,76.6,1.3
200207,81.3,0.7
200208,80.2,0.8
200209,73.2,2.4
200210,52.4,-6.5
200211,44.2,-0.1
200212,36.2,2.6
200301,32.3,1.8
200302,33.2,-2.6
200303,45.6,0.8
200304,57.8,2.1
200305,64.2,-1.1
200306,72.1,-3.2
200307,83.7,3.1
200308,82.1,2.7
200309,65.8,-5.0
200310,58.7,-0.2
200311,45.8,1.5
200312,37.0,3.4
200401,32.3,1.8
200402,33.8,-2.0
200403,50.6,5.8
200404,56.8,1.1
200405,68.9,3.6
200406,73.0,-2.3
200407,76.6,-4.0
200408,74.5,-4.9
200409,73.4,2.6
200410,60.8,1.9
200411,47.1,2.8
200412,37.6,4.0
200501,31.4,0.9
200502,41.4,5.6
200503,46.7,1.9
200504,57.1,1.4
200505,66.9,1.6
200506,76.9,1.6
200507,79.6,-1.0
200508,78.9,-0.5
200509,74.2,3.4
200510,60.0,1.1
200511,48.4,4.1
200512,32.6,-1.0
200601,43.6,13.1
200602,36.4,0.6
200603,48.7,3.9
200604,62.8,7.1
200605,67.4,2.1
200606,76.3,1.0
200607,82.8,2.2
200608,81.3,1.9
200609,67.1,-3.7
200610,57.9,-1.0
200611,47.8,3.5
200612,39.0,5.4
200701,30.5,0.0
200702,33.5,-2.3
200703,54.8,10.0
200704,52.9,-2.8
200705,67.8,2.5
200706,73.4,-1.9
200707,78.9,-1.7
200708,83.1,3.7
200709,73.2,2.4
200710,61.3,2.4
200711,46.1,1.8
200712,31.4,-2.2
200801,33.0,2.5
200802,34.5,-1.3
200803,45.6,0.8
200804,53.3,-2.4
200805,65.6,0.3
200806,76.3,1.0
200807,79.6,-1.0
200808,77.2,-2.2
200809,67.7,-3.1
200810,57.6,-1.3
200811,46.2,1.9
200812,32.8,-0.8
200901,32.1,1.6
200902,42.3,6.5
200903,47.1,2.3
200904,54.8,-0.9
200905,64.9,-0.4
200906,78.1,2.8
200907,77.3,-3.3
200908,75.7,-3.7
200909,67.5,-3.3
200910,51.1,-7.8
200911,50.4,6.1
200912,29.8,-3.8
201001,28.7,-1.8
201002,32.2,-3.6
201003,46.9,2.1
201004,60.8,5.1
201005,65.2,-0.1
201006,79.9,4.6
201007,81.7,1.1
201008,82.4,3.0
201009,73.5,2.7
201010,62.0,3.1
201011,46.8,2.5
201012,34.2,0.6
201101,29.1,-1.4
201102,32.4,-3.4
201103,47.5,2.7
201104,58.4,2.7
201105,65.8,0.5
201106,80.8,5.5
201107,88.4,7.8
201108,84.5,5.1
201109,68.8,-2.0
201110,60.3,1.4
201111,45.3,1.0
201112,36.7,3.1
201201,38.0,7.5
201202,39.7,3.9
201203,57.8,13.0
201204,61.9,6.2
201205,71.7,6.4
201206,78.2,2.9
201207,87.0,6.4
201208,78.7,-0.7
