Calcasieu Parish, Louisiana, Average Temperature
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
200001,54.6,3.1
200002,60.3,6.0
200003,65.4,4.8
200004,66.4,-1.2
200005,77.2,2.8
200006,80.6,0.2
200007,83.1,0.8
200008,83.5,1.4
200009,78.5,0.3
200010,68.9,-0.3
200011,57.2,-2.1
200012,46.1,-6.9
200101,47.8,-3.7
200102,58.4,4.1
200103,56.9,-3.7
200104,71.6,4.0
200105,74.8,0.4
200106,78.9,-1.5
200107,82.7,0.4
200108,81.8,-0.3
200109,76.3,-1.9
200110,66.2,-3.0
200111,63.3,4.0
200112,55.9,2.9
200201,53.5,2.0
200202,50.8,-3.5
200203,60.2,-0.4
200204,71.1,3.5
200205,74.5,0.1
200206,79.5,-0.9
200207,82.1,-0.2
200208,82.3,0.2
200209,78.6,0.4
200210,70.6,1.4
200211,57.9,-1.4
200212,53.0,0.0
200301,47.3,-4.2
200302,52.8,-1.5
200303,60.2,-0.4
200304,67.8,0.2
200305,77.4,3.0
200306,80.9,0.5
200307,81.9,-0.4
200308,82.7,0.6
200309,76.6,-1.6
200310,69.1,-0.1
200311,63.2,3.9
200312,51.4,-1.6
200401,52.1,0.6
200402,51.4,-2.9
200403,64.5,3.9
200404,67.3,-0.3
200405,74.9,0.5
200406,80.1,-0.3
200407,82.4,0.1
200408,81.1,-1.0
200409,79.3,1.1
200410,75.2,6.0
200411,62.8,3.5
200412,51.8,-1.2
200501,55.7,4.2
200502,56.8,2.5
200503,59.3,-1.3
200504,66.5,-1.1
200505,73.9,-0.5
200506,81.1,0.7
200507,82.4,0.1
200508,83.3,1.2
200509,82.2,4.0
200510,69.5,0.3
200511,62.8,3.5
200512,51.1,-1.9
200601,56.7,5.2
200602,53.4,-0.9
200603,64.0,3.4
200604,72.0,4.4
200605,74.6,0.2
200606,80.3,-0.1
200607,81.7,-0.6
200608,83.2,1.1
200609,77.2,-1.0
200610,70.2,1.0
200611,60.2,0.9
200612,53.6,0.6
200701,50.6,-0.9
200702,52.2,-2.1
200703,63.8,3.2
200704,64.3,-3.3
200705,74.8,0.4
200706,80.4,0.0
200707,81.0,-1.3
200708,83.8,1.7
200709,79.5,1.3
200710,71.1,1.9
200711,61.7,2.4
200712,57.7,4.7
200801,50.7,-0.8
200802,58.0,3.7
200803,62.0,1.4
200804,68.3,0.7
200805,75.4,1.0
200806,82.1,1.7
200807,82.6,0.3
200808,81.8,-0.3
200809,76.4,-1.8
200810,67.6,-1.6
200811,59.2,-0.1
200812,54.2,1.2
200901,52.6,1.1
200902,57.7,3.4
200903,61.5,0.9
200904,66.6,-1.0
200905,75.7,1.3
200906,82.2,1.8
200907,83.7,1.4
200908,83.0,0.9
200909,78.1,-0.1
200910,69.7,0.5
200911,60.2,0.9
200912,49.5,-3.5
201001,48.2,-3.3
201002,47.3,-7.0
201003,56.5,-4.1
201004,68.3,0.7
201005,78.3,3.9
201006,83.9,3.5
201007,83.5,1.2
201008,85.3,3.2
201009,81.0,2.8
201010,70.2,1.0
201011,60.4,1.1
201012,51.4,-1.6
201101,49.3,-2.2
201102,53.2,-1.1
201103,64.3,3.7
201104,71.6,4.0
201105,74.8,0.4
201106,83.9,3.5
201107,84.0,1.7
201108,86.5,4.4
201109,77.6,-0.6
201110,67.4,-1.8
201111,61.1,1.8
201112,53.6,0.6
201201,58.0,6.5
201202,58.2,3.9
201203,68.8,8.2
201204,71.2,3.6
201205,76.9,2.5
201206,81.3,0.9
201207,81.5,-0.8
