Benzie County, Michigan, Average Temperature
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
200001,21.6,2.4
200002,27.8,8.7
200003,38.8,10.7
200004,41.3,1.0
200005,54.9,3.6
200006,62.9,1.6
200007,66.1,-0.5
200008,65.3,0.6
200009,57.9,0.3
200010,50.6,3.6
200011,37.1,2.4
200012,20.1,-4.1
200101,25.5,6.3
200102,22.5,3.4
200103,29.2,1.1
200104,46.0,5.7
200105,56.1,4.8
200106,63.3,2.0
200107,68.6,2.0
200108,69.0,4.3
200109,56.8,-0.8
200110,47.6,0.6
200111,43.1,8.4
200112,32.8,8.6
200201,28.7,9.5
200202,27.7,8.6
200203,27.6,-0.5
200204,43.4,3.1
200205,48.4,-2.9
200206,64.1,2.8
200207,72.3,5.7
200208,67.6,2.9
200209,63.7,6.1
200210,44.3,-2.7
200211,34.2,-0.5
200212,27.6,3.4
200301,18.6,-0.6
200302,17.5,-1.6
200303,29.4,1.3
200304,40.5,0.2
200305,52.0,0.7
200306,61.0,-0.3
200307,67.1,0.5
200308,68.2,3.5
200309,60.4,2.8
200310,47.4,0.4
200311,37.7,3.0
200312,29.5,5.3
200401,15.7,-3.5
200402,23.5,4.4
200403,34.0,5.9
200404,42.4,2.1
200405,52.0,0.7
200406,61.3,0.0
200407,65.2,-1.4
200408,63.1,-1.6
200409,63.8,6.2
200410,49.2,2.2
200411,38.8,4.1
200412,24.9,0.7
200501,19.4,0.2
200502,26.4,7.3
200503,28.5,0.4
200504,46.6,6.3
200505,51.8,0.5
200506,69.7,8.4
200507,70.7,4.1
200508,69.3,4.6
200509,64.1,6.5
200510,51.0,4.0
200511,37.9,3.2
200512,24.7,0.5
200601,29.9,10.7
200602,22.5,3.4
200603,32.6,4.5
200604,47.4,7.1
200605,55.8,4.5
200606,63.6,2.3
200607,71.3,4.7
200608,67.2,2.5
200609,57.2,-0.4
200610,44.5,-2.5
200611,39.0,4.3
200612,31.9,7.7
200701,25.0,5.8
200702,16.9,-2.2
200703,34.9,6.8
200704,41.3,1.0
200705,57.4,6.1
200706,66.7,5.4
200707,67.6,1.0
200708,68.5,3.8
200709,62.7,5.1
200710,54.9,7.9
200711,35.1,0.4
200712,25.8,1.6
200801,24.2,5.0
200802,19.8,0.7
200803,27.2,-0.9
200804,45.5,5.2
200805,50.1,-1.2
200806,63.5,2.2
200807,68.2,1.6
200808,67.0,2.3
200809,60.2,2.6
200810,47.2,0.2
200811,36.9,2.2
200812,22.3,-1.9
200901,15.1,-4.1
200902,23.5,4.4
200903,31.6,3.5
200904,42.4,2.1
200905,52.8,1.5
200906,62.0,0.7
200907,63.4,-3.2
200908,64.6,-0.1
200909,60.3,2.7
200910,44.0,-3.0
200911,41.5,6.8
200912,24.4,0.2
201001,23.2,4.0
201002,24.1,5.0
201003,37.8,9.7
201004,48.1,7.8
201005,57.5,6.2
201006,63.6,2.3
201007,71.4,4.8
201008,71.1,6.4
201009,57.5,-0.1
201010,49.4,2.4
201011,39.2,4.5
201012,24.9,0.7
201101,18.5,-0.7
201102,23.1,4.0
201103,28.5,0.4
201104,41.4,1.1
201105,53.6,2.3
201106,63.4,2.1
201107,72.4,5.8
201108,68.8,4.1
201109,58.2,0.6
201110,49.8,2.8
201111,40.3,5.6
201112,30.9,6.7
201201,25.9,6.7
201202,28.5,9.4
201203,45.6,17.5
201204,42.8,2.5
201205,58.6,7.3
201206,67.0,5.7
201207,73.9,7.3
201208,68.2,3.5
201209,58.2,0.6
201210,47.7,0.7
201211,37.2,2.5
201212,31.6,7.4
201301,24.1,4.9
201302,22.1,3.0
201303,28.2,0.1
201304,39.5,-0.8
201305,55.8,4.5
201306,63.0,1.7
201307,68.7,2.1
201308,66.6,1.9
201309,59.2,1.6
201310,49.3,2.3
201311,35.3,0.6
201312,20.2,-4.0
201401,15.3,-3.9
201402,13.5,-5.6
201403,21.1,-7.0
201404,40.1,-0.2
201405,53.8,2.5
201406,63.7,2.4
201407,63.5,-3.1
201408,66.2,1.5
201409,58.3,0.7
201410,47.2,0.2
201411,31.0,-3.7
201412,28.3,4.1
201501,18.3,-0.9
201502,10.4,-8.7
201503,29.2,1.1
201504,42.6,2.3
201505,56.2,4.9
201506,61.2,-0.1
201507,68.4,1.8
201508,67.1,2.4
201509,64.6,7.0
201510,48.9,1.9
201511,42.6,7.9
201512,36.0,11.8
201601,23.4,4.2
201602,24.8,5.7
201603,36.0,7.9
201604,40.9,0.6
201605,55.3,4.0
201606,64.7,3.4
201607,70.8,4.2
201608,71.5,6.8
201609,63.9,6.3
201610,51.7,4.7
201611,43.7,9.0
201612,26.2,2.0
201701,25.5,6.3
201702,29.8,10.7
201703,30.4,2.3
201704,46.9,6.6
201705,51.9,0.6
201706,64.6,3.3
201707,68.0,1.4
201708,65.4,0.7
201709,63.0,5.4
201710,52.5,5.5
201711,35.0,0.3
201712,22.5,-1.7
201801,22.2,3.0
201802,24.1,5.0
201803,30.0,1.9
201804,34.4,-5.9
201805,59.6,8.3
201806,65.4,4.1
201807,70.7,4.1
201808,70.2,5.5
201809,63.5,5.9
201810,46.6,-0.4
201811,31.0,-3.7
201812,29.2,5.0
201901,17.5,-1.7
201902,21.4,2.3
201903,27.8,-0.3
201904,41.8,1.5
201905,51.4,0.1
201906,61.2,-0.1
201907,70.2,3.6
201908,66.0,1.3
201909,61.8,4.2
201910,46.8,-0.2
201911,31.0,-3.7
201912,28.2,4.0
202001,28.2,9.0
