Amite County, Mississippi, Average Temperature
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
200001,51.3,2.8
200002,56.4,4.9
200003,62.3,4.2
200004,63.2,-2.1
200005,76.0,3.6
200006,78.9,0.1
200007,82.3,1.6
200008,82.4,2.1
200009,76.2,0.1
200010,65.3,-0.9
200011,54.2,-2.1
200012,42.4,-7.5
200101,44.1,-4.4
200102,56.6,5.1
200103,54.1,-4.0
200104,68.3,3.0
200105,72.3,-0.1
200106,76.3,-2.5
200107,80.1,-0.6
200108,79.1,-1.2
200109,74.2,-1.9
200110,62.3,-3.9
200111,61.0,4.7
200112,53.1,3.2
200201,50.3,1.8
200202,48.3,-3.2
200203,58.6,0.5
200204,68.7,3.4
200205,73.0,0.6
200206,77.6,-1.2
200207,80.4,-0.3
200208,78.9,-1.4
200209,77.5,1.4
200210,69.4,3.2
200211,54.6,-1.7
200212,49.3,-0.6
200301,43.7,-4.8
200302,50.1,-1.4
200303,58.1,0.0
200304,65.2,-0.1
200305,74.8,2.4
200306,79.0,0.2
200307,79.5,-1.2
200308,80.7,0.4
200309,74.6,-1.5
200310,66.2,0.0
200311,60.6,4.3
200312,47.7,-2.2
200401,48.6,0.1
200402,48.7,-2.8
200403,62.6,4.5
200404,64.2,-1.1
200405,72.4,0.0
200406,77.9,-0.9
200407,80.0,-0.7
200408,78.2,-2.1
200409,76.1,0.0
200410,72.6,6.4
200411,60.6,4.3
200412,48.1,-1.8
200501,53.2,4.7
200502,54.4,2.9
200503,55.8,-2.3
200504,64.0,-1.3
200505,70.8,-1.6
200506,78.4,-0.4
200507,81.6,0.9
200508,82.1,1.8
200509,79.4,3.3
200510,66.2,0.0
200511,58.9,2.6
200512,47.8,-2.1
200601,54.2,5.7
200602,50.2,-1.3
200603,60.6,2.5
200604,69.5,4.2
200605,72.5,0.1
200606,79.7,0.9
200607,80.9,0.2
200608,82.2,1.9
200609,74.6,-1.5
200610,66.3,0.1
200611,56.3,0.0
200612,51.4,1.5
200701,49.1,0.6
200702,49.8,-1.7
200703,61.6,3.5
200704,62.9,-2.4
200705,72.0,-0.4
200706,79.0,0.2
200707,79.0,-1.7
200708,83.0,2.7
200709,77.5,1.4
200710,67.5,1.3
200711,58.2,1.9
200712,55.0,5.1
200801,47.1,-1.4
200802,53.9,2.4
200803,58.3,0.2
200804,65.6,0.3
200805,72.7,0.3
200806,80.0,1.2
200807,81.4,0.7
200808,79.3,-1.0
200809,74.5,-1.6
200810,64.0,-2.2
200811,55.1,-1.2
200812,52.4,2.5
200901,50.0,1.5
200902,53.7,2.2
200903,60.6,2.5
200904,64.7,-0.6
200905,73.5,1.1
200906,81.1,2.3
200907,81.2,0.5
200908,79.6,-0.7
200909,76.7,0.6
200910,65.5,-0.7
200911,56.4,0.1
200912,48.0,-1.9
201001,44.2,-4.3
201002,43.1,-8.4
201003,53.8,-4.3
201004,66.8,1.5
201005,76.1,3.7
201006,81.6,2.8
201007,82.5,1.8
201008,83.1,2.8
201009,77.6,1.5
201010,66.8,0.6
201011,57.7,1.4
201012,45.6,-4.3
201101,45.2,-3.3
201102,52.5,1.0
201103,60.6,2.5
201104,69.0,3.7
201105,72.5,0.1
201106,82.4,3.6
201107,82.7,2.0
201108,84.3,4.0
201109,74.2,-1.9
201110,63.2,-3.0
201111,58.0,1.7
201112,51.4,1.5
201201,55.0,6.5
201202,55.5,4.0
201203,66.8,8.7
201204,67.6,2.3
201205,74.8,2.4
201206,79.6,0.8
201207,81.1,0.4
