Powell County, Montana, Average Temperature
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
200001,23.1,4.8
200002,27.7,5.5
200003,32.8,4.7
200004,40.4,3.4
200005,46.3,1.1
200006,52.9,0.7
200007,62.2,2.2
200008,60.9,2.3
200009,48.9,-0.7
200010,39.5,-0.2
200011,21.8,-5.9
200012,19.7,-1.1
200101,22.9,4.6
200102,19.0,-3.2
200103,31.8,3.7
200104,36.1,-0.9
200105,48.3,3.1
200106,52.3,0.1
200107,60.0,0.0
200108,63.3,4.7
200109,55.4,5.8
200110,39.0,-0.7
200111,33.6,5.9
200112,21.0,0.2
200201,22.6,4.3
200202,23.6,1.4
200203,22.7,-5.4
200204,34.8,-2.2
200205,43.4,-1.8
200206,53.2,1.0
200207,63.2,3.2
200208,55.4,-3.2
200209,51.2,1.6
200210,34.7,-5.0
200211,30.5,2.8
200212,26.0,5.2
200301,27.6,9.3
200302,22.7,0.5
200303,31.0,2.9
200304,38.8,1.8
200305,45.0,-0.2
200306,54.0,1.8
200307,65.1,5.1
200308,63.9,5.3
200309,51.2,1.6
200310,43.1,3.4
200311,22.9,-4.8
200312,24.0,3.2
200401,20.7,2.4
200402,26.1,3.9
200403,35.9,7.8
200404,40.4,3.4
200405,43.6,-1.6
200406,51.8,-0.4
200407,61.4,1.4
200408,58.8,0.2
200409,48.5,-1.1
200410,40.3,0.6
200411,31.0,3.3
200412,26.8,6.0
200501,22.7,4.4
200502,28.0,5.8
200503,32.3,4.2
200504,37.6,0.6
200505,45.2,0.0
200506,50.7,-1.5
200507,61.4,1.4
200508,59.2,0.6
200509,49.6,0.0
200510,42.5,2.8
200511,28.0,0.3
200512,19.0,-1.8
200601,29.5,11.2
200602,21.0,-1.2
200603,29.1,1.0
200604,40.0,3.0
200605,48.1,2.9
200606,56.0,3.8
200607,65.3,5.3
200608,59.3,0.7
200609,51.7,2.1
200610,38.5,-1.2
200611,28.5,0.8
200612,23.2,2.4
200701,20.8,2.5
200702,26.1,3.9
200703,36.1,8.0
200704,38.7,1.7
200705,47.4,2.2
200706,55.1,2.9
200707,68.3,8.3
200708,60.0,1.4
200709,50.4,0.8
200710,40.8,1.1
200711,28.8,1.1
200712,22.1,1.3
200801,17.9,-0.4
200802,26.9,4.7
200803,27.9,-0.2
200804,32.9,-4.1
200805,45.2,0.0
200806,51.7,-0.5
200807,61.1,1.1
200808,59.6,1.0
200809,49.4,-0.2
200810,40.2,0.5
200811,34.3,6.6
200812,16.3,-4.5
200901,23.3,5.0
200902,26.7,4.5
200903,26.6,-1.5
200904,35.9,-1.1
200905,46.3,1.1
200906,51.8,-0.4
200907,60.2,0.2
200908,59.6,1.0
200909,56.3,6.7
200910,33.5,-6.2
200911,31.6,3.9
200912,14.7,-6.1
201001,24.1,5.8
201002,25.8,3.6
201003,34.3,6.2
201004,37.3,0.3
201005,41.4,-3.8
201006,51.5,-0.7
201007,59.1,-0.9
201008,58.0,-0.6
201009,50.7,1.1
201010,44.0,4.3
201011,24.7,-3.0
201012,20.8,0.0
201101,23.1,4.8
201102,18.3,-3.9
201103,30.2,2.1
201104,33.2,-3.8
201105,43.5,-1.7
201106,50.1,-2.1
201107,60.0,0.0
201108,62.1,3.5
201109,55.3,5.7
201110,41.3,1.6
201111,27.9,0.2
201112,24.5,3.7
201201,24.8,6.5
201202,24.1,1.9
201203,34.4,6.3
201204,41.4,4.4
201205,44.7,-0.5
201206,53.3,1.1
201207,64.6,4.6
201208,62.2,3.6
201209,54.9,5.3
201210,38.7,-1.0
201211,31.6,3.9
201212,22.0,1.2
201301,23.5,5.2
201302,26.5,4.3
201303,31.6,3.5
201304,35.1,-1.9
201305,47.2,2.0
201306,54.4,2.2
201307,64.4,4.4
201308,62.9,4.3
201309,53.6,4.0
201310,37.7,-2.0
201311,30.6,2.9
201312,19.0,-1.8
201401,25.7,7.4
201402,14.8,-7.4
201403,30.6,2.5
201404,38.1,1.1
201405,47.2,2.0
201406,51.4,-0.8
201407,64.2,4.2
201408,60.0,1.4
201409,51.9,2.3
201410,45.3,5.6
201411,25.0,-2.7
201412,24.6,3.8
201501,26.9,8.6
201502,29.6,7.4
201503,37.4,9.3
201504,39.2,2.2
201505,46.8,1.6
201506,60.2,8.0
201507,61.1,1.1
201508,62.0,3.4
201509,52.4,2.8
201510,45.8,6.1
201511,27.0,-0.7
201512,23.2,2.4
201601,25.7,7.4
201602,32.2,10.0
201603,34.1,6.0
201604,43.9,6.9
201605,46.7,1.5
201606,57.2,5.0
201607,59.9,-0.1
201608,59.5,0.9
201609,49.4,-0.2
201610,41.4,1.7
201611,36.7,9.0
201612,15.4,-5.4
201701,16.9,-1.4
201702,25.9,3.7
201703,35.7,7.6
201704,38.4,1.4
201705,48.7,3.5
201706,55.4,3.2
201707,66.8,6.8
201708,62.4,3.8
201709,51.2,1.6
201710,38.7,-1.0
201711,29.8,2.1
201712,21.1,0.3
201801,27.0,8.7
201802,16.4,-5.8
201803,30.5,2.4
201804,37.2,0.2
201805,51.3,6.1
201806,53.5,1.3
201807,62.4,2.4
201808,60.2,1.6
201809,50.0,0.4
201810,40.0,0.3
201811,28.8,1.1
201812,22.8,2.0
201901,25.0,6.7
201902,10.1,-12.1
201903,25.6,-2.5
201904,38.4,1.4
201905,45.7,0.5
201906,53.9,1.7
201907,60.1,0.1
201908,60.8,2.2
201909,50.7,1.1
201910,32.1,-7.6
201911,28.5,0.8
201912,26.6,5.8
202001,25.7,7.4
