New Hanover County, North Carolina, Average Temperature
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
200001,43.6,-1.8
200002,50.4,3.6
200003,57.1,3.7
200004,60.2,-1.0
200005,72.2,2.8
200006,77.3,1.2
200007,77.9,-1.5
200008,77.6,-0.8
200009,72.8,-1.3
200010,62.3,-1.8
200011,52.0,-2.2
200012,40.9,-6.0
200101,44.2,-1.2
200102,51.1,4.3
200103,52.1,-1.3
200104,62.8,1.6
200105,68.8,-0.6
200106,77.9,1.8
200107,77.8,-1.6
200108,79.0,0.6
200109,71.5,-2.6
200110,62.2,-1.9
200111,59.6,5.4
200112,53.6,6.7
200201,48.2,2.8
200202,48.8,2.0
200203,56.0,2.6
200204,66.4,5.2
200205,68.4,-1.0
200206,77.0,0.9
200207,80.7,1.3
200208,79.0,0.6
200209,76.2,2.1
200210,67.0,2.9
200211,52.4,-1.8
200212,45.0,-1.9
200301,41.0,-4.4
200302,46.5,-0.3
200303,57.4,4.0
200304,60.6,-0.6
200305,69.9,0.5
200306,76.7,0.6
200307,79.9,0.5
200308,79.7,1.3
200309,72.7,-1.4
200310,63.3,-0.8
200311,59.8,5.6
200312,44.2,-2.7
200401,42.1,-3.3
200402,44.3,-2.5
200403,55.5,2.1
200404,62.4,1.2
200405,73.6,4.2
200406,78.1,2.0
200407,80.4,1.0
200408,76.9,-1.5
200409,74.4,0.3
200410,65.7,1.6
200411,56.6,2.4
200412,45.7,-1.2
200501,47.3,1.9
200502,48.1,1.3
200503,51.6,-1.8
200504,60.5,-0.7
200505,66.0,-3.4
200506,76.5,0.4
200507,82.2,2.8
200508,80.4,2.0
200509,77.6,3.5
200510,66.5,2.4
200511,57.6,3.4
200512,45.3,-1.6
200601,51.6,6.2
200602,46.1,-0.7
200603,52.7,-0.7
200604,64.8,3.6
200605,67.8,-1.6
200606,75.5,-0.6
200607,80.5,1.1
200608,80.4,2.0
200609,71.7,-2.4
200610,62.2,-1.9
200611,56.1,1.9
200612,51.7,4.8
200701,48.9,3.5
200702,44.4,-2.4
200703,56.4,3.0
200704,60.4,-0.8
200705,68.0,-1.4
200706,76.4,0.3
200707,78.8,-0.6
200708,81.6,3.2
200709,75.3,1.2
200710,70.0,5.9
200711,54.6,0.4
200712,52.9,6.0
200801,45.8,0.4
200802,51.7,4.9
200803,55.0,1.6
200804,63.1,1.9
200805,68.5,-0.9
200806,79.8,3.7
200807,79.8,0.4
200808,78.5,0.1
200809,74.8,0.7
200810,61.8,-2.3
200811,52.0,-2.2
200812,52.9,6.0
200901,44.8,-0.6
200902,46.6,-0.2
200903,52.8,-0.6
200904,62.0,0.8
200905,71.2,1.8
200906,78.1,2.0
200907,79.0,-0.4
200908,80.0,1.6
200909,73.1,-1.0
200910,63.7,-0.4
200911,57.2,3.0
200912,47.0,0.1
201001,40.5,-4.9
201002,41.2,-5.6
201003,52.7,-0.7
201004,63.4,2.2
201005,72.3,2.9
201006,81.7,5.6
201007,81.4,2.0
201008,80.8,2.4
201009,76.5,2.4
201010,65.6,1.5
201011,54.7,0.5
201012,37.5,-9.4
201101,39.5,-5.9
201102,49.6,2.8
201103,54.3,0.9
201104,64.3,3.1
201105,70.7,1.3
201106,80.8,4.7
201107,82.1,2.7
201108,80.8,2.4
201109,74.9,0.8
201110,62.8,-1.3
201111,57.3,3.1
201112,51.8,4.9
201201,49.2,3.8
201202,50.4,3.6
201203,61.6,8.2
201204,62.5,1.3
201205,72.2,2.8
201206,74.4,-1.7
201207,83.9,4.5
201208,78.5,0.1
201209,73.6,-0.5
201210,64.1,0.0
201211,49.9,-4.3
201212,52.2,5.3
201301,50.2,4.8
201302,47.1,0.3
201303,48.2,-5.2
201304,61.1,-0.1
201305,68.6,-0.8
201306,77.1,1.0
201307,79.6,0.2
201308,77.7,-0.7
201309,73.4,-0.7
201310,64.8,0.7
201311,53.4,-0.8
201312,51.3,4.4
201401,41.2,-4.2
201402,47.2,0.4
201403,49.4,-4.0
201404,63.4,2.2
201405,72.5,3.1
201406,77.8,1.7
201407,78.8,-0.6
201408,77.8,-0.6
201409,74.8,0.7
201410,65.8,1.7
201411,50.4,-3.8
201412,48.9,2.0
201501,44.7,-0.7
201502,39.8,-7.0
201503,54.4,1.0
201504,63.8,2.6
201505,70.6,1.2
201506,80.6,4.5
201507,81.5,2.1
201508,78.7,0.3
201509,75.9,1.8
201510,64.9,0.8
201511,59.8,5.6
201512,60.4,13.5
201601,43.3,-2.1
201602,48.4,1.6
201603,60.8,7.4
201604,61.6,0.4
201605,69.6,0.2
201606,78.2,2.1
201607,83.0,3.6
201608,81.4,3.0
201609,76.8,2.7
201610,66.9,2.8
201611,54.6,0.4
201612,49.1,2.2
201701,50.7,5.3
201702,54.9,8.1
201703,52.9,-0.5
201704,67.1,5.9
201705,72.1,2.7
201706,77.0,0.9
201707,81.0,1.6
201708,78.6,0.2
201709,75.2,1.1
201710,67.8,3.7
201711,55.2,1.0
201712,47.8,0.9
201801,41.0,-4.4
201802,57.4,10.6
201803,50.5,-2.9
201804,59.5,-1.7
201805,74.0,4.6
201806,80.2,4.1
201807,79.0,-0.4
201808,81.1,2.7
201809,78.7,4.6
201810,67.1,3.0
201811,55.4,1.2
201812,50.2,3.3
201901,45.9,0.5
201902,53.1,6.3
201903,53.0,-0.4
201904,63.7,2.5
201905,74.8,5.4
201906,77.3,1.2
201907,81.0,1.6
201908,80.0,1.6
201909,77.0,2.9
201910,69.4,5.3
201911,51.9,-2.3
201912,52.4,5.5
202001,52.0,6.6
