Ward County, North Dakota, Average Temperature
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
200001,12.1,6.1
200002,21.2,9.7
200003,35.0,10.8
200004,40.6,-0.4
200005,54.8,1.3
200006,59.2,-3.3
200007,68.8,0.3
200008,67.0,0.6
200009,56.3,0.4
200010,45.9,2.1
200011,21.5,-4.5
200012,3.2,-9.3
200101,18.7,12.7
200102,5.5,-6.0
200103,28.8,4.6
200104,42.1,1.1
200105,55.9,2.4
200106,61.7,-0.8
200107,69.2,0.7
200108,69.6,3.2
200109,57.8,1.9
200110,41.4,-2.4
200111,36.7,10.7
200112,15.4,2.9
200201,16.2,10.2
200202,24.1,12.6
200203,14.8,-9.4
200204,36.5,-4.5
200205,47.3,-6.2
200206,64.0,1.5
200207,70.9,2.4
200208,65.2,-1.2
200209,57.4,1.5
200210,34.2,-9.6
200211,28.8,2.8
200212,20.3,7.8
200301,10.7,4.7
200302,7.2,-4.3
200303,21.0,-3.2
200304,44.5,3.5
200305,53.2,-0.3
200306,61.8,-0.7
200307,69.1,0.6
200308,72.1,5.7
200309,56.5,0.6
200310,47.7,3.9
200311,16.6,-9.4
200312,19.8,7.3
200401,2.0,-4.0
200402,14.9,3.4
200403,29.3,5.1
200404,42.8,1.8
200405,48.4,-5.1
200406,58.8,-3.7
200407,66.1,-2.4
200408,60.6,-5.8
200409,57.8,1.9
200410,43.4,-0.4
200411,33.6,7.6
200412,19.6,7.1
200501,4.7,-1.3
200502,19.8,8.3
200503,28.3,4.1
200504,46.6,5.6
200505,50.6,-2.9
200506,63.9,1.4
200507,68.7,0.2
200508,65.5,-0.9
200509,59.0,3.1
200510,44.2,0.4
200511,30.8,4.8
200512,18.7,6.2
200601,26.9,20.9
200602,15.2,3.7
200603,27.5,3.3
200604,49.1,8.1
200605,55.0,1.5
200606,64.5,2.0
200607,72.4,3.9
200608,68.8,2.4
200609,55.8,-0.1
200610,39.1,-4.7
200611,27.3,1.3
200612,20.8,8.3
200701,14.2,8.2
200702,7.5,-4.0
200703,32.2,8.0
200704,41.1,0.1
200705,54.5,1.0
200706,64.5,2.0
200707,73.3,4.8
200708,65.7,-0.7
200709,57.7,1.8
200710,45.8,2.0
200711,28.4,2.4
200712,12.7,0.2
200801,11.3,5.3
200802,9.7,-1.8
200803,26.5,2.3
200804,40.1,-0.9
200805,51.2,-2.3
200806,59.9,-2.6
200807,68.4,-0.1
200808,68.1,1.7
200809,55.9,0.0
200810,44.5,0.7
200811,27.9,1.9
200812,3.5,-9.0
200901,4.6,-1.4
200902,9.6,-1.9
200903,18.0,-6.2
200904,38.8,-2.2
200905,50.7,-2.8
200906,60.3,-2.2
200907,63.6,-4.9
200908,64.4,-2.0
200909,63.4,7.5
200910,37.4,-6.4
200911,36.5,10.5
200912,5.9,-6.6
201001,10.4,4.4
201002,8.9,-2.6
201003,30.6,6.4
201004,46.2,5.2
201005,51.1,-2.4
201006,62.3,-0.2
201007,67.8,-0.7
201008,68.0,1.6
201009,54.1,-1.8
201010,46.9,3.1
201011,26.1,0.1
201012,9.2,-3.3
201101,7.0,1.0
201102,10.2,-1.3
201103,17.7,-6.5
201104,38.2,-2.8
201105,50.6,-2.9
201106,62.1,-0.4
201107,70.3,1.8
201108,69.0,2.6
201109,59.0,3.1
201110,47.8,4.0
201111,29.7,3.7
201112,23.5,11.0
201201,20.6,14.6
201202,21.4,9.9
201203,39.8,15.6
201204,44.8,3.8
201205,53.9,0.4
201206,64.0,1.5
201207,73.3,4.8
201208,68.1,1.7
