Nassau County, New York, Average Temperature
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
200001,30.6,0.0
200002,35.4,4.4
200003,45.3,6.3
200004,49.2,0.5
200005,61.0,1.9
200006,68.9,0.5
200007,70.8,-3.1
200008,71.7,-0.7
200009,65.1,-0.7
200010,54.7,-0.6
200011,44.0,-0.4
200012,30.6,-3.8
200101,31.7,1.1
200102,34.6,3.6
200103,38.9,-0.1
200104,51.6,2.9
200105,61.0,1.9
200106,70.8,2.4
200107,70.9,-3.0
200108,76.7,4.3
200109,66.8,1.0
200110,57.0,1.7
200111,51.0,6.6
200112,43.1,8.7
200201,39.0,8.4
200202,38.8,7.8
200203,42.9,3.9
200204,53.4,4.7
200205,58.9,-0.2
200206,69.8,1.4
200207,77.3,3.4
200208,75.8,3.4
200209,68.1,2.3
200210,54.6,-0.7
200211,44.4,0.0
200212,34.9,0.5
200301,27.3,-3.3
200302,29.1,-1.9
200303,40.8,1.8
200304,47.9,-0.8
200305,56.9,-2.2
200306,67.3,-1.1
200307,75.2,1.3
200308,75.6,3.2
200309,67.2,1.4
200310,53.5,-1.8
200311,48.9,4.5
200312,37.4,3.0
200401,25.5,-5.1
200402,34.3,3.3
200403,42.6,3.6
200404,51.6,2.9
200405,62.9,3.8
200406,69.1,0.7
200407,73.3,-0.6
200408,72.8,0.4
200409,68.2,2.4
200410,55.5,0.2
200411,47.3,2.9
200412,37.0,2.6
200501,30.9,0.3
200502,35.4,4.4
200503,38.0,-1.0
200504,52.4,3.7
200505,56.5,-2.6
200506,71.6,3.2
200507,76.0,2.1
200508,77.8,5.4
200509,71.5,5.7
200510,57.3,2.0
200511,48.1,3.7
200512,34.9,0.5
200601,39.2,8.6
200602,34.9,3.9
200603,42.0,3.0
200604,53.0,4.3
200605,61.1,2.0
200606,69.9,1.5
200607,77.0,3.1
200608,75.4,3.0
200609,65.6,-0.2
200610,55.5,0.2
200611,50.9,6.5
200612,42.6,8.2
200701,36.3,5.7
200702,28.2,-2.8
200703,39.9,0.9
200704,48.8,0.1
200705,62.6,3.5
200706,70.0,1.6
200707,74.0,0.1
200708,73.3,0.9
200709,68.1,2.3
200710,61.9,6.6
200711,44.5,0.1
200712,36.6,2.2
200801,35.4,4.8
200802,35.6,4.6
200803,41.4,2.4
200804,52.7,4.0
200805,58.4,-0.7
200806,72.6,4.2
200807,76.4,2.5
200808,71.9,-0.5
200809,68.2,2.4
200810,54.9,-0.4
200811,45.3,0.9
200812,37.8,3.4
200901,27.5,-3.1
200902,35.4,4.4
200903,40.3,1.3
200904,51.9,3.2
200905,60.3,1.2
200906,67.0,-1.4
200907,72.8,-1.1
200908,76.1,3.7
200909,65.4,-0.4
200910,54.3,-1.0
200911,50.3,5.9
200912,36.0,1.6
201001,32.2,1.6
201002,32.9,1.9
201003,46.5,7.5
201004,55.4,6.7
201005,64.1,5.0
201006,74.3,5.9
201007,80.3,6.4
201008,75.7,3.3
201009,69.4,3.6
201010,56.8,1.5
201011,46.6,2.2
201012,32.9,-1.5
201101,28.6,-2.0
201102,34.5,3.5
201103,41.3,2.3
201104,51.8,3.1
201105,62.9,3.8
201106,71.8,3.4
201107,78.8,4.9
201108,75.1,2.7
201109,69.5,3.7
201110,56.7,1.4
201111,50.0,5.6
201112,41.3,6.9
201201,36.6,6.0
201202,39.7,8.7
201203,48.9,9.9
201204,53.1,4.4
201205,63.5,4.4
201206,70.0,1.6
201207,77.7,3.8
201208,75.8,3.4
201209,67.8,2.0
201210,58.0,2.7
201211,42.9,-1.5
201212,41.0,6.6
201301,34.5,3.9
201302,33.2,2.2
201303,39.2,0.2
201304,50.3,1.6
201305,59.9,0.8
201306,70.6,2.2
201307,78.7,4.8
201308,73.1,0.7
201309,65.6,-0.2
201310,58.5,3.2
201311,44.1,-0.3
201312,37.0,2.6
201401,28.1,-2.5
201402,30.2,-0.8
201403,36.2,-2.8
201404,49.5,0.8
201405,61.7,2.6
201406,70.7,2.3
201407,75.0,1.1
201408,72.9,0.5
201409,68.3,2.5
201410,58.4,3.1
201411,44.0,-0.4
201412,40.1,5.7
201501,29.4,-1.2
201502,22.8,-8.2
201503,36.4,-2.6
201504,51.3,2.6
201505,64.4,5.3
201506,69.7,1.3
201507,76.9,3.0
201508,76.9,4.5
201509,71.8,6.0
201510,56.4,1.1
201511,51.3,6.9
201512,49.4,15.0
201601,34.2,3.6
201602,37.0,6.0
201603,47.1,8.1
201604,50.5,1.8
201605,60.4,1.3
201606,70.9,2.5
201607,78.0,4.1
201608,78.3,5.9
201609,70.4,4.6
201610,58.3,3.0
201611,49.4,5.0
201612,38.3,3.9
201701,38.1,7.5
201702,40.3,9.3
201703,38.8,-0.2
201704,55.0,6.3
201705,59.6,0.5
201706,70.6,2.2
201707,75.6,1.7
201708,73.4,1.0
201709,69.5,3.7
201710,62.9,7.6
201711,45.8,1.4
201712,34.6,0.2
201801,30.3,-0.3
201802,40.1,9.1
201803,39.1,0.1
201804,46.7,-2.0
201805,64.1,5.0
201806,69.7,1.3
201807,76.6,2.7
201808,77.5,5.1
201809,70.1,4.3
201810,57.1,1.8
201811,43.8,-0.6
201812,39.2,4.8
201901,32.1,1.5
201902,35.1,4.1
201903,39.8,0.8
201904,52.6,3.9
201905,60.2,1.1
201906,70.2,1.8
201907,78.6,4.7
201908,74.7,2.3
201909,68.8,3.0
201910,58.9,3.6
201911,42.7,-1.7
201912,37.6,3.2
202001,38.2,7.6
