Suffolk County, New York, Average Temperature
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
200001,29.3,-0.3
200002,34.1,4.2
200003,43.2,5.7
200004,47.2,0.5
200005,58.7,1.8
200006,67.4,1.3
200007,69.5,-2.4
200008,70.2,-0.3
200009,64.2,0.1
200010,54.0,0.1
200011,43.6,0.0
200012,30.1,-3.5
200101,29.8,0.2
200102,32.9,3.0
200103,36.8,-0.7
200104,49.1,2.4
200105,59.2,2.3
200106,69.6,3.5
200107,69.4,-2.5
200108,74.8,4.3
200109,64.9,0.8
200110,55.4,1.5
200111,49.0,5.4
200112,41.7,8.1
200201,37.4,7.8
200202,37.0,7.1
200203,41.6,4.1
200204,51.5,4.8
200205,56.6,-0.3
200206,67.1,1.0
200207,74.8,2.9
200208,74.0,3.5
200209,67.0,2.9
200210,54.1,0.2
200211,44.0,0.4
200212,34.0,0.4
200301,26.5,-3.1
200302,27.3,-2.6
200303,38.9,1.4
200304,46.2,-0.5
200305,55.1,-1.8
200306,65.5,-0.6
200307,73.0,1.1
200308,74.2,3.7
200309,66.3,2.2
200310,53.0,-0.9
200311,47.7,4.1
200312,36.7,3.1
200401,23.9,-5.7
200402,32.4,2.5
200403,39.8,2.3
200404,49.1,2.4
200405,59.7,2.8
200406,66.5,0.4
200407,71.6,-0.3
200408,71.0,0.5
200409,66.4,2.3
200410,54.2,0.3
200411,45.6,2.0
200412,36.2,2.6
200501,29.5,-0.1
200502,32.5,2.6
200503,35.3,-2.2
200504,49.6,2.9
200505,54.3,-2.6
200506,69.0,2.9
200507,73.9,2.0
200508,76.1,5.6
200509,69.4,5.3
200510,56.4,2.5
200511,47.3,3.7
200512,34.1,0.5
200601,38.0,8.4
200602,32.7,2.8
200603,39.4,1.9
200604,50.5,3.8
200605,58.4,1.5
200606,68.2,2.1
200607,75.3,3.4
200608,73.2,2.7
200609,64.0,-0.1
200610,54.4,0.5
200611,49.6,6.0
200612,42.0,8.4
200701,35.8,6.2
200702,27.2,-2.7
200703,38.6,1.1
200704,46.7,0.0
200705,59.9,3.0
200706,67.8,1.7
200707,72.5,0.6
200708,72.2,1.7
200709,66.6,2.5
200710,61.1,7.2
200711,43.8,0.2
200712,35.2,1.6
200801,34.2,4.6
200802,34.0,4.1
200803,40.0,2.5
200804,50.4,3.7
200805,56.2,-0.7
200806,70.3,4.2
200807,74.7,2.8
200808,69.9,-0.6
200809,66.6,2.5
200810,53.3,-0.6
200811,43.8,0.2
200812,37.3,3.7
200901,26.4,-3.2
200902,34.2,4.3
200903,38.7,1.2
200904,50.0,3.3
200905,58.2,1.3
200906,64.8,-1.3
200907,70.6,-1.3
200908,74.2,3.7
200909,64.0,-0.1
200910,53.1,-0.8
200911,49.3,5.7
200912,35.1,1.5
201001,30.6,1.0
201002,31.9,2.0
201003,44.6,7.1
201004,53.0,6.3
201005,61.5,4.6
201006,71.2,5.1
201007,77.4,5.5
201008,73.8,3.3
201009,68.2,4.1
201010,55.9,2.0
201011,45.8,2.2
201012,32.1,-1.5
201101,27.6,-2.0
201102,32.7,2.8
201103,40.3,2.8
201104,49.8,3.1
201105,60.6,3.7
201106,69.3,3.2
201107,76.4,4.5
201108,73.3,2.8
201109,68.1,4.0
201110,56.4,2.5
201111,49.4,5.8
201112,41.0,7.4
201201,36.2,6.6
201202,37.9,8.0
201203,47.0,9.5
201204,51.5,4.8
201205,61.8,4.9
201206,67.9,1.8
201207,75.8,3.9
201208,73.8,3.3
201209,65.8,1.7
201210,57.8,3.9
201211,42.6,-1.0
201212,40.6,7.0
201301,33.3,3.7
201302,32.2,2.3
201303,38.3,0.8
201304,48.9,2.2
201305,57.9,1.0
201306,68.5,2.4
201307,77.0,5.1
201308,70.8,0.3
201309,63.6,-0.5
201310,56.8,2.9
201311,43.3,-0.3
201312,36.8,3.2
201401,27.4,-2.2
201402,29.6,-0.3
201403,34.9,-2.6
201404,47.7,1.0
201405,59.6,2.7
201406,68.3,2.2
201407,73.3,1.4
201408,70.7,0.2
201409,66.8,2.7
201410,57.3,3.4
201411,43.6,0.0
201412,39.6,6.0
201501,28.6,-1.0
201502,20.9,-9.0
201503,34.3,-3.2
201504,48.6,1.9
201505,61.7,4.8
201506,67.1,1.0
201507,74.6,2.7
201508,74.5,4.0
201509,70.0,5.9
201510,54.9,1.0
201511,49.5,5.9
201512,48.0,14.4
201601,33.0,3.4
201602,35.3,5.4
201603,44.9,7.4
201604,48.0,1.3
201605,57.8,0.9
201606,68.0,1.9
201607,75.4,3.5
201608,76.2,5.7
201609,68.6,4.5
201610,57.2,3.3
201611,47.5,3.9
201612,37.1,3.5
201701,36.4,6.8
201702,37.9,8.0
201703,37.0,-0.5
201704,52.8,6.1
201705,57.9,1.0
201706,68.1,2.0
201707,73.5,1.6
201708,71.3,0.8
201709,68.0,3.9
201710,61.3,7.4
201711,45.4,1.8
201712,33.5,-0.1
201801,29.4,-0.2
201802,38.7,8.8
201803,38.5,1.0
201804,45.2,-1.5
201805,61.8,4.9
201806,67.1,1.0
201807,74.5,2.6
201808,76.0,5.5
201809,69.1,5.0
201810,56.0,2.1
201811,43.4,-0.2
201812,37.8,4.2
201901,31.6,2.0
201902,33.9,4.0
201903,38.2,0.7
201904,50.8,4.1
201905,58.3,1.4
201906,67.6,1.5
201907,76.4,4.5
201908,72.6,2.1
201909,66.2,2.1
201910,57.5,3.6
201911,41.8,-1.8
201912,37.1,3.5
202001,37.0,7.4
