Coshocton County, Ohio, Average Temperature
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
200001,26.3,-0.4
200002,35.0,6.1
200003,44.5,6.2
200004,50.0,1.1
200005,62.3,2.7
200006,69.5,1.2
200007,69.1,-3.1
200008,68.8,-1.5
200009,62.3,-1.7
200010,55.3,3.1
200011,39.4,-1.0
200012,21.7,-8.4
200101,27.9,1.2
200102,34.6,5.7
200103,36.4,-1.9
200104,53.9,5.0
200105,60.3,0.7
200106,68.3,0.0
200107,70.9,-1.3
200108,72.6,2.3
200109,62.0,-2.0
200110,54.0,1.8
200111,47.5,7.1
200112,37.4,7.3
200201,34.0,7.3
200202,34.8,5.9
200203,40.0,1.7
200204,52.5,3.6
200205,56.4,-3.2
200206,70.8,2.5
200207,75.0,2.8
200208,73.8,3.5
200209,67.6,3.6
200210,51.5,-0.7
200211,40.4,0.0
200212,30.4,0.3
200301,21.3,-5.4
200302,25.4,-3.5
200303,41.1,2.8
200304,52.7,3.8
200305,59.5,-0.1
200306,65.4,-2.9
200307,71.3,-0.9
200308,72.1,1.8
200309,62.2,-1.8
200310,50.6,-1.6
200311,46.0,5.6
200312,32.3,2.2
200401,23.1,-3.6
200402,30.8,1.9
200403,42.2,3.9
200404,50.8,1.9
200405,64.2,4.6
200406,67.3,-1.0
200407,70.9,-1.3
200408,68.1,-2.2
200409,65.4,1.4
200410,53.3,1.1
200411,44.8,4.4
200412,32.0,1.9
200501,29.6,2.9
200502,32.4,3.5
200503,35.9,-2.4
200504,52.4,3.5
200505,56.2,-3.4
200506,71.6,3.3
200507,74.7,2.5
200508,73.5,3.2
200509,66.9,2.9
200510,53.2,1.0
200511,43.9,3.5
200512,27.9,-2.2
200601,39.0,12.3
200602,31.6,2.7
200603,38.7,0.4
200604,54.2,5.3
200605,58.6,-1.0
200606,66.4,-1.9
200607,73.5,1.3
200608,72.8,2.5
200609,61.4,-2.6
200610,50.1,-2.1
200611,44.4,4.0
200612,38.3,8.2
200701,33.0,6.3
200702,19.7,-9.2
200703,43.6,5.3
200704,48.0,-0.9
200705,63.1,3.5
200706,69.5,1.2
200707,69.7,-2.5
200708,74.0,3.7
200709,66.5,2.5
200710,59.0,6.8
200711,41.6,1.2
200712,33.8,3.7
200801,29.3,2.6
200802,28.8,-0.1
200803,36.9,-1.4
200804,53.4,4.5
200805,56.9,-2.7
200806,70.3,2.0
200807,71.7,-0.5
200808,69.4,-0.9
200809,66.0,2.0
200810,50.6,-1.6
200811,39.3,-1.1
200812,31.1,1.0
200901,20.2,-6.5
200902,31.1,2.2
200903,42.4,4.1
200904,51.0,2.1
200905,61.1,1.5
200906,68.2,-0.1
200907,68.0,-4.2
200908,70.6,0.3
200909,64.1,0.1
200910,49.6,-2.6
200911,46.1,5.7
200912,30.4,0.3
201001,25.1,-1.6
201002,26.0,-2.9
201003,42.4,4.1
201004,54.9,6.0
201005,62.9,3.3
201006,71.2,2.9
201007,74.3,2.1
201008,73.6,3.3
201009,64.9,0.9
201010,53.8,1.6
201011,41.5,1.1
201012,24.3,-5.8
201101,23.0,-3.7
201102,30.1,1.2
201103,39.4,1.1
201104,52.4,3.5
201105,62.0,2.4
201106,69.4,1.1
201107,76.3,4.1
201108,71.1,0.8
201109,63.9,-0.1
201110,52.0,-0.2
201111,46.3,5.9
201112,37.1,7.0
201201,31.9,5.2
201202,34.9,6.0
201203,51.5,13.2
201204,49.7,0.8
201205,66.2,6.6
201206,69.5,1.2
201207,76.8,4.6
201208,71.0,0.7
201209,62.7,-1.3
201210,52.7,0.5
201211,39.0,-1.4
201212,37.4,7.3
201301,30.7,4.0
201302,29.0,0.1
201303,35.8,-2.5
201304,51.1,2.2
201305,62.3,2.7
201306,68.9,0.6
201307,72.3,0.1
201308,69.6,-0.7
201309,63.4,-0.6
201310,54.5,2.3
201311,38.6,-1.8
201312,32.4,2.3
201401,20.4,-6.3
201402,24.5,-4.4
201403,33.9,-4.4
201404,51.9,3.0
201405,61.6,2.0
201406,69.9,1.6
201407,69.3,-2.9
201408,70.1,-0.2
201409,63.8,-0.2
201410,52.9,0.7
201411,37.0,-3.4
201412,35.2,5.1
201501,24.5,-2.2
201502,17.2,-11.7
201503,35.8,-2.5
201504,51.6,2.7
201505,64.6,5.0
201506,69.6,1.3
201507,71.2,-1.0
201508,69.7,-0.6
201509,68.0,4.0
201510,53.4,1.2
201511,47.8,7.4
201512,43.4,13.3
201601,26.6,-0.1
201602,33.4,4.5
201603,46.2,7.9
201604,49.6,0.7
201605,59.3,-0.3
201606,70.9,2.6
201607,75.0,2.8
201608,75.9,5.6
201609,68.8,4.8
201610,56.8,4.6
201611,44.9,4.5
201612,30.6,0.5
201701,34.5,7.8
201702,39.8,10.9
201703,40.2,1.9
201704,55.9,7.0
201705,60.1,0.5
201706,68.8,0.5
201707,72.4,0.2
201708,69.0,-1.3
201709,64.9,0.9
201710,56.7,4.5
201711,41.3,0.9
201712,28.8,-1.3
201801,23.8,-2.9
201802,36.5,7.6
201803,35.8,-2.5
201804,45.1,-3.8
201805,67.6,8.0
201806,70.7,2.4
201807,73.4,1.2
201808,73.2,2.9
201809,69.2,5.2
201810,53.8,1.6
201811,37.6,-2.8
201812,34.8,4.7
201901,27.8,1.1
201902,33.4,4.5
201903,36.7,-1.6
201904,52.6,3.7
201905,63.2,3.6
201906,68.8,0.5
201907,74.5,2.3
201908,70.8,0.5
201909,68.8,4.8
201910,56.5,4.3
201911,37.2,-3.2
201912,35.4,5.3
202001,35.4,8.7
