Hamilton County, Ohio, Average Temperature
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
200001,28.8,-1.0
200002,40.2,8.0
200003,47.4,5.7
200004,53.0,0.7
200005,66.0,3.3
200006,72.6,1.1
200007,73.2,-2.5
200008,72.7,-0.9
200009,65.4,-1.7
200010,58.5,3.3
200011,42.6,-0.5
200012,23.6,-9.4
200101,30.3,0.5
200102,37.2,5.0
200103,39.7,-2.0
200104,57.8,5.5
200105,64.8,2.1
200106,70.5,-1.0
200107,74.7,-1.0
200108,76.0,2.4
200109,65.0,-2.1
200110,55.6,0.4
200111,50.1,7.0
200112,40.0,7.0
200201,36.0,6.2
200202,37.2,5.0
200203,41.7,0.0
200204,55.8,3.5
200205,60.0,-2.7
200206,74.1,2.6
200207,78.6,2.9
200208,77.6,4.0
200209,71.4,4.3
200210,54.2,-1.0
200211,42.0,-1.1
200212,34.3,1.3
200301,24.4,-5.4
200302,28.6,-3.6
200303,44.8,3.1
200304,54.8,2.5
200305,62.7,0.0
200306,67.7,-3.8
200307,74.4,-1.3
200308,75.1,1.5
200309,65.3,-1.8
200310,54.3,-0.9
200311,48.3,5.2
200312,35.3,2.3
200401,27.3,-2.5
200402,33.3,1.1
200403,45.9,4.2
200404,53.7,1.4
200405,67.9,5.2
200406,71.4,-0.1
200407,73.8,-1.9
200408,71.0,-2.6
200409,68.3,1.2
200410,56.1,0.9
200411,48.2,5.1
200412,33.4,0.4
200501,33.4,3.6
200502,37.4,5.2
200503,38.8,-2.9
200504,55.4,3.1
200505,59.6,-3.1
200506,74.1,2.6
200507,76.8,1.1
200508,77.2,3.6
200509,70.4,3.3
200510,56.1,0.9
200511,45.8,2.7
200512,30.2,-2.8
200601,41.0,11.2
200602,34.2,2.0
200603,41.6,-0.1
200604,57.1,4.8
200605,61.4,-1.3
200606,69.9,-1.6
200607,76.6,0.9
200608,76.8,3.2
200609,64.1,-3.0
200610,52.7,-2.5
200611,45.6,2.5
200612,39.8,6.8
200701,35.6,5.8
200702,22.6,-9.6
200703,49.1,7.4
200704,51.7,-0.6
200705,67.2,4.5
200706,73.4,1.9
200707,73.4,-2.3
200708,80.2,6.6
200709,71.7,4.6
200710,61.8,6.6
200711,44.3,1.2
200712,36.3,3.3
200801,30.3,0.5
200802,32.0,-0.2
200803,40.7,-1.0
200804,54.5,2.2
200805,60.0,-2.7
200806,73.3,1.8
200807,74.7,-1.0
200808,73.7,0.1
200809,70.2,3.1
200810,55.2,0.0
200811,42.1,-1.0
200812,33.8,0.8
200901,25.5,-4.3
200902,35.1,2.9
200903,46.2,4.5
200904,54.2,1.9
200905,64.2,1.5
200906,72.8,1.3
200907,70.5,-5.2
200908,72.8,-0.8
200909,67.1,0.0
200910,52.1,-3.1
200911,47.4,4.3
200912,33.3,0.3
201001,26.7,-3.1
201002,27.0,-5.2
201003,44.9,3.2
201004,58.2,5.9
201005,66.0,3.3
201006,75.2,3.7
201007,77.6,1.9
201008,77.4,3.8
201009,69.3,2.2
201010,57.3,2.1
201011,44.3,1.2
201012,27.0,-6.0
201101,26.4,-3.4
201102,36.1,3.9
201103,44.1,2.4
201104,56.3,4.0
201105,63.3,0.6
201106,72.9,1.4
201107,80.4,4.7
201108,75.1,1.5
201109,65.3,-1.8
201110,54.7,-0.5
201111,49.0,5.9
201112,39.2,6.2
201201,35.0,5.2
201202,38.0,5.8
201203,55.6,13.9
201204,53.6,1.3
201205,68.8,6.1
201206,72.6,1.1
201207,80.6,4.9
201208,74.6,1.0
201209,66.1,-1.0
201210,53.7,-1.5
201211,41.7,-1.4
201212,40.1,7.1
201301,33.0,3.2
201302,32.3,0.1
201303,36.7,-5.0
201304,53.7,1.4
201305,65.3,2.6
201306,71.9,0.4
201307,74.0,-1.7
201308,73.3,-0.3
201309,67.6,0.5
201310,55.3,0.1
201311,40.6,-2.5
201312,34.6,1.6
201401,21.9,-7.9
201402,27.0,-5.2
201403,38.3,-3.4
201404,54.8,2.5
201405,64.3,1.6
201406,73.2,1.7
201407,70.9,-4.8
201408,74.4,0.8
201409,65.8,-1.3
201410,54.8,-0.4
201411,38.0,-5.1
201412,36.4,3.4
201501,28.6,-1.2
201502,21.6,-10.6
201503,40.4,-1.3
201504,54.6,2.3
201505,66.9,4.2
201506,72.3,0.8
201507,74.3,-1.4
201508,71.7,-1.9
201509,69.8,2.7
201510,56.5,1.3
201511,48.6,5.5
201512,45.6,12.6
201601,29.6,-0.2
201602,36.0,3.8
201603,49.3,7.6
201604,54.0,1.7
201605,61.4,-1.3
201606,73.6,2.1
201607,76.6,0.9
201608,77.9,4.3
201609,71.2,4.1
201610,60.8,5.6
201611,47.6,4.5
201612,33.4,0.4
201701,37.0,7.2
201702,43.3,11.1
201703,44.0,2.3
201704,59.4,7.1
201705,62.8,0.1
201706,71.2,-0.3
201707,75.5,-0.2
201708,72.2,-1.4
201709,67.5,0.4
201710,58.2,3.0
201711,44.2,1.1
201712,31.7,-1.3
201801,28.0,-1.8
201802,40.7,8.5
201803,39.8,-1.9
201804,48.5,-3.8
201805,71.8,9.1
201806,74.8,3.3
201807,76.0,0.3
201808,75.8,2.2
201809,72.0,4.9
201810,57.1,1.9
201811,40.0,-3.1
201812,37.8,4.8
201901,30.1,0.3
201902,37.0,4.8
201903,40.4,-1.3
201904,55.5,3.2
201905,66.2,3.5
201906,71.2,-0.3
201907,77.8,2.1
201908,74.7,1.1
201909,73.6,6.5
201910,58.8,3.6
201911,39.4,-3.7
201912,39.2,6.2
202001,37.3,7.5
