Lucas County, Ohio, Average Temperature
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
200001,24.5,-0.6
200002,33.4,6.7
200003,44.3,7.7
200004,48.4,0.5
200005,62.5,3.0
200006,69.7,0.5
200007,70.8,-3.0
200008,70.9,-0.5
200009,63.3,-1.2
200010,56.3,3.6
200011,40.6,0.5
200012,19.3,-9.8
200101,26.5,1.4
200102,31.3,4.6
200103,35.6,-1.0
200104,51.7,3.8
200105,62.2,2.7
200106,69.2,0.0
200107,73.3,-0.5
200108,74.0,2.6
200109,62.9,-1.6
200110,53.7,1.0
200111,48.2,8.1
200112,37.2,8.1
200201,34.5,9.4
200202,34.8,8.1
200203,36.1,-0.5
200204,51.5,3.6
200205,55.6,-3.9
200206,71.9,2.7
200207,77.0,3.2
200208,74.0,2.6
200209,68.5,4.0
200210,51.4,-1.3
200211,40.1,0.0
200212,29.7,0.6
200301,20.8,-4.3
200302,24.2,-2.5
200303,37.0,0.4
200304,48.9,1.0
200305,57.6,-1.9
200306,66.8,-2.4
200307,72.2,-1.6
200308,73.2,1.8
200309,63.3,-1.2
200310,51.8,-0.9
200311,45.6,5.5
200312,32.7,3.6
200401,21.3,-3.8
200402,28.2,1.5
200403,41.3,4.7
200404,51.0,3.1
200405,62.6,3.1
200406,67.8,-1.4
200407,72.4,-1.4
200408,68.6,-2.8
200409,66.9,2.4
200410,53.4,0.7
200411,43.5,3.4
200412,29.8,0.7
200501,25.2,0.1
200502,30.0,3.3
200503,34.4,-2.2
200504,50.7,2.8
200505,56.7,-2.8
200506,74.6,5.4
200507,75.6,1.8
200508,74.4,3.0
200509,68.0,3.5
200510,55.1,2.4
200511,43.5,3.4
200512,25.6,-3.5
200601,37.2,12.1
200602,30.6,3.9
200603,38.1,1.5
200604,53.2,5.3
200605,60.4,0.9
200606,69.3,0.1
200607,75.2,1.4
200608,73.5,2.1
200609,62.7,-1.8
200610,50.6,-2.1
200611,43.0,2.9
200612,37.9,8.8
200701,30.9,5.8
200702,18.1,-8.6
200703,41.2,4.6
200704,47.9,0.0
200705,63.4,3.9
200706,71.4,2.2
200707,71.7,-2.1
200708,73.9,2.5
200709,67.1,2.6
200710,60.0,7.3
200711,40.5,0.4
200712,30.4,1.3
200801,28.2,3.1
200802,25.6,-1.1
200803,34.2,-2.4
200804,51.2,3.3
200805,57.4,-2.1
200806,70.9,1.7
200807,73.4,-0.4
200808,71.8,0.4
200809,66.9,2.4
200810,51.6,-1.1
200811,39.2,-0.9
200812,28.5,-0.6
200901,17.3,-7.8
200902,29.4,2.7
200903,40.0,3.4
200904,49.9,2.0
200905,60.1,0.6
200906,69.2,0.0
200907,69.3,-4.5
200908,71.6,0.2
200909,65.3,0.8
200910,49.9,-2.8
200911,45.5,5.4
200912,29.5,0.4
201001,24.8,-0.3
201002,26.6,-0.1
201003,41.5,4.9
201004,54.6,6.7
201005,63.4,3.9
201006,72.6,3.4
201007,76.9,3.1
201008,74.8,3.4
201009,65.7,1.2
201010,55.7,3.0
201011,41.6,1.5
201012,25.3,-3.8
201101,22.1,-3.0
201102,26.1,-0.6
201103,36.8,0.2
201104,48.6,0.7
201105,61.4,1.9
201106,71.4,2.2
201107,79.1,5.3
201108,72.4,1.0
201109,63.6,-0.9
201110,53.4,0.7
201111,45.8,5.7
201112,35.9,6.8
201201,31.1,6.0
201202,33.8,7.1
201203,51.5,14.9
201204,49.8,1.9
201205,65.6,6.1
201206,71.5,2.3
201207,78.6,4.8
201208,71.3,-0.1
201209,62.9,-1.6
201210,52.4,-0.3
201211,39.6,-0.5
201212,36.3,7.2
201301,29.2,4.1
201302,27.7,1.0
201303,34.3,-2.3
201304,47.5,-0.4
201305,63.7,4.2
201306,69.9,0.7
201307,72.9,-0.9
201308,70.9,-0.5
201309,64.8,0.3
201310,54.1,1.4
201311,38.5,-1.6
201312,28.8,-0.3
201401,17.0,-8.1
201402,18.9,-7.8
201403,29.5,-7.1
201404,49.7,1.8
201405,61.4,1.9
201406,71.4,2.2
201407,69.7,-4.1
201408,72.0,0.6
201409,63.6,-0.9
201410,52.3,-0.4
201411,35.9,-4.2
201412,34.3,5.2
201501,21.9,-3.2
201502,14.1,-12.6
201503,33.8,-2.8
201504,49.7,1.8
201505,64.5,5.0
201506,69.0,-0.2
201507,71.4,-2.4
201508,71.0,-0.4
201509,68.8,4.3
201510,54.7,2.0
201511,45.9,5.8
201512,42.0,12.9
201601,28.0,2.9
201602,32.6,5.9
201603,44.1,7.5
201604,47.3,-0.6
201605,60.6,1.1
201606,71.5,2.3
201607,75.7,1.9
201608,76.0,4.6
201609,68.6,4.1
201610,57.2,4.5
201611,46.3,6.2
201612,28.8,-0.3
201701,32.8,7.7
201702,39.6,12.9
201703,37.8,1.2
201704,55.2,7.3
201705,59.0,-0.5
201706,71.4,2.2
201707,73.8,0.0
201708,70.3,-1.1
201709,67.2,2.7
201710,58.3,5.6
201711,41.5,1.4
201712,27.4,-1.7
201801,25.6,0.5
201802,32.3,5.6
201803,35.8,-0.8
201804,43.6,-4.3
201805,66.8,7.3
201806,71.9,2.7
201807,75.3,1.5
201808,75.2,3.8
201809,69.2,4.7
201810,54.0,1.3
201811,36.6,-3.5
201812,35.1,6.0
201901,25.4,0.3
201902,30.6,3.9
201903,35.6,-1.0
201904,50.6,2.7
201905,60.6,1.1
201906,69.2,0.0
201907,77.8,4.0
201908,73.0,1.6
201909,70.2,5.7
201910,55.7,3.0
201911,37.0,-3.1
201912,35.8,6.7
202001,34.1,9.0
