Clatsop County, Oregon, Average Temperature
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
200001,38.9,0.6
200002,42.4,1.5
200003,42.2,-0.7
200004,48.5,2.1
200005,51.4,0.3
200006,56.8,1.4
200007,59.9,0.2
200008,59.9,-0.4
200009,58.5,0.7
200010,51.5,0.4
200011,41.3,-2.3
200012,41.1,1.5
200101,41.4,3.1
200102,40.3,-0.6
200103,44.0,1.1
200104,45.0,-1.4
200105,51.6,0.5
200106,54.1,-1.3
200107,58.6,-1.1
200108,61.2,0.9
200109,58.1,0.3
200110,50.6,-0.5
200111,45.7,2.1
200112,40.8,1.2
200201,40.2,1.9
200202,41.5,0.6
200203,41.2,-1.7
200204,46.5,0.1
200205,49.6,-1.5
200206,56.9,1.5
200207,61.5,1.8
200208,60.4,0.1
200209,58.6,0.8
200210,50.5,-0.6
200211,46.6,3.0
200212,42.5,2.9
200301,45.5,7.2
200302,41.8,0.9
200303,45.0,2.1
200304,46.2,-0.2
200305,51.3,0.2
200306,58.0,2.6
200307,62.2,2.5
200308,61.6,1.3
200309,59.8,2.0
200310,54.1,3.0
200311,42.1,-1.5
200312,41.5,1.9
200401,40.3,2.0
200402,43.4,2.5
200403,46.1,3.2
200404,49.6,3.2
200405,53.5,2.4
200406,58.2,2.8
200407,63.3,3.6
200408,64.0,3.7
200409,57.8,0.0
200410,52.2,1.1
200411,43.4,-0.2
200412,42.0,2.4
200501,42.0,3.7
200502,42.7,1.8
200503,46.6,3.7
200504,47.6,1.2
200505,54.8,3.7
200506,56.2,0.8
200507,61.5,1.8
200508,62.6,2.3
200509,56.2,-1.6
200510,51.4,0.3
200511,42.2,-1.4
200512,40.7,1.1
200601,43.2,4.9
200602,40.2,-0.7
200603,42.2,-0.7
200604,47.5,1.1
200605,52.9,1.8
200606,57.9,2.5
200607,61.7,2.0
200608,60.4,0.1
200609,59.0,1.2
200610,50.2,-0.9
200611,43.5,-0.1
200612,40.4,0.8
200701,37.6,-0.7
200702,42.0,1.1
200703,45.1,2.2
200704,46.3,-0.1
200705,51.9,0.8
200706,55.0,-0.4
200707,62.2,2.5
200708,61.0,0.7
200709,57.1,-0.7
200710,49.3,-1.8
200711,43.0,-0.6
200712,39.1,-0.5
200801,37.0,-1.3
200802,41.7,0.8
200803,41.0,-1.9
200804,43.0,-3.4
200805,52.0,0.9
200806,53.8,-1.6
200807,60.0,0.3
200808,61.2,0.9
200809,58.8,1.0
200810,50.3,-0.8
200811,47.2,3.6
200812,36.9,-2.7
200901,40.0,1.7
200902,40.0,-0.9
200903,40.6,-2.3
200904,46.0,-0.4
200905,51.9,0.8
200906,57.5,2.1
200907,62.8,3.1
200908,61.8,1.5
200909,59.6,1.8
200910,50.6,-0.5
200911,44.6,1.0
200912,36.4,-3.2
201001,44.9,6.6
201002,44.9,4.0
201003,44.9,2.0
201004,45.9,-0.5
201005,49.1,-2.0
201006,53.5,-1.9
201007,59.4,-0.3
201008,60.5,0.2
201009,59.0,1.2
201010,51.5,0.4
201011,42.2,-1.4
201012,41.3,1.7
201101,40.4,2.1
201102,37.9,-3.0
201103,42.4,-0.5
201104,42.7,-3.7
201105,48.4,-2.7
201106,55.4,0.0
201107,59.2,-0.5
201108,61.2,0.9
201109,60.7,2.9
201110,51.5,0.4
201111,42.2,-1.4
201112,38.5,-1.1
201201,40.3,2.0
201202,41.2,0.3
201203,41.1,-1.8
201204,47.6,1.2
201205,50.6,-0.5
201206,54.4,-1.0
201207,60.0,0.3
201208,61.7,1.4
201209,59.1,1.3
201210,51.0,-0.1
201211,45.7,2.1
201212,40.2,0.6
201301,37.8,-0.5
201302,41.7,0.8
201303,43.9,1.0
201304,46.9,0.5
201305,53.0,1.9
201306,57.7,2.3
201307,61.5,1.8
201308,62.3,2.0
201309,60.1,2.3
201310,49.7,-1.4
201311,44.7,1.1
201312,36.3,-3.3
201401,42.6,4.3
201402,38.9,-2.0
201403,45.7,2.8
201404,48.1,1.7
201405,55.0,3.9
201406,57.0,1.6
201407,63.0,3.3
201408,63.9,3.6
201409,62.3,4.5
201410,56.4,5.3
201411,44.7,1.1
201412,43.8,4.2
201501,44.6,6.3
201502,47.6,6.7
201503,48.4,5.5
201504,47.4,1.0
201505,53.6,2.5
201506,60.6,5.2
201507,64.8,5.1
201508,64.1,3.8
201509,57.8,0.0
201510,55.9,4.8
201511,43.2,-0.4
201512,41.3,1.7
201601,42.6,4.3
201602,46.5,5.6
201603,46.4,3.5
201604,52.3,5.9
201605,54.9,3.8
201606,57.8,2.4
201607,61.6,1.9
201608,63.8,3.5
201609,58.5,0.7
201610,52.3,1.2
201611,49.2,5.6
201612,36.6,-3.0
201701,36.4,-1.9
201702,40.4,-0.5
201703,44.1,1.2
201704,46.8,0.4
201705,53.1,2.0
201706,57.6,2.2
201707,60.8,1.1
201708,64.1,3.8
201709,60.4,2.6
201710,50.9,-0.2
201711,44.8,1.2
201712,40.3,0.7
201801,44.4,6.1
201802,39.4,-1.5
201803,42.7,-0.2
201804,47.9,1.5
201805,55.4,4.3
201806,57.4,2.0
201807,63.5,3.8
201808,63.3,3.0
201809,57.8,0.0
201810,52.3,1.2
201811,45.5,1.9
201812,41.7,2.1
201901,42.7,4.4
201902,35.8,-5.1
201903,43.3,0.4
201904,48.2,1.8
201905,54.8,3.7
201906,57.5,2.1
201907,62.1,2.4
201908,63.8,3.5
201909,58.7,0.9
201910,48.2,-2.9
201911,44.4,0.8
201912,41.9,2.3
202001,42.6,4.3
