Jackson County, Oregon, Average Temperature
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
200001,36.3,1.3
200002,40.9,2.8
200003,41.0,0.0
200004,49.5,3.9
200005,52.6,0.5
200006,62.6,4.0
200007,65.6,-0.9
200008,67.7,1.6
200009,61.0,0.5
200010,51.0,-0.3
200011,38.4,-2.4
200012,38.9,3.3
200101,37.7,2.7
200102,37.2,-0.9
200103,44.0,3.0
200104,43.1,-2.5
200105,58.6,6.5
200106,57.9,-0.7
200107,66.5,0.0
200108,69.2,3.1
200109,64.0,3.5
200110,53.5,2.2
200111,42.7,1.9
200112,36.0,0.4
200201,35.1,0.1
200202,40.9,2.8
200203,40.3,-0.7
200204,47.5,1.9
200205,51.8,-0.3
200206,61.4,2.8
200207,70.5,4.0
200208,66.5,0.4
200209,62.7,2.2
200210,51.6,0.3
200211,44.8,4.0
200212,38.2,2.6
200301,43.4,8.4
200302,39.1,1.0
200303,42.8,1.8
200304,42.0,-3.6
200305,52.5,0.4
200306,63.6,5.0
200307,71.7,5.2
200308,68.0,1.9
200309,65.0,4.5
200310,55.0,3.7
200311,38.4,-2.4
200312,37.5,1.9
200401,37.7,2.7
200402,38.8,0.7
200403,47.6,6.6
200404,49.5,3.9
200405,52.6,0.5
200406,61.2,2.6
200407,69.8,3.3
200408,69.1,3.0
200409,59.2,-1.3
200410,50.8,-0.5
200411,41.1,0.3
200412,39.0,3.4
200501,37.7,2.7
200502,41.6,3.5
200503,45.1,4.1
200504,45.2,-0.4
200505,53.4,1.3
200506,56.0,-2.6
200507,69.9,3.4
200508,70.0,3.9
200509,59.0,-1.5
200510,51.4,0.1
200511,41.4,0.6
200512,38.1,2.5
200601,37.1,2.1
200602,39.1,1.0
200603,37.2,-3.8
200604,46.1,0.5
200605,55.4,3.3
200606,62.7,4.1
200607,70.6,4.1
200608,66.6,0.5
200609,62.3,1.8
200610,51.4,0.1
200611,40.7,-0.1
200612,37.4,1.8
200701,34.8,-0.2
200702,38.9,0.8
200703,45.5,4.5
200704,46.5,0.9
200705,55.2,3.1
200706,59.5,0.9
200707,69.1,2.6
200708,66.4,0.3
200709,59.1,-1.4
200710,48.2,-3.1
200711,43.2,2.4
200712,33.8,-1.8
200801,33.3,-1.7
200802,38.8,0.7
200803,39.0,-2.0
200804,42.8,-2.8
200805,53.2,1.1
200806,58.6,0.0
200807,68.4,1.9
200808,67.7,1.6
200809,64.7,4.2
200810,52.4,1.1
200811,44.7,3.9
200812,34.3,-1.3
200901,39.0,4.0
200902,39.2,1.1
200903,39.2,-1.8
200904,45.1,-0.5
200905,55.4,3.3
200906,59.9,1.3
200907,70.7,4.2
200908,67.4,1.3
200909,64.4,3.9
200910,48.7,-2.6
200911,40.6,-0.2
200912,34.2,-1.4
201001,40.9,5.9
201002,40.8,2.7
201003,41.6,0.6
201004,42.5,-3.1
201005,47.5,-4.6
201006,56.6,-2.0
201007,68.6,2.1
201008,66.3,0.2
201009,61.0,0.5
201010,52.6,1.3
201011,39.6,-1.2
201012,37.3,1.7
201101,38.7,3.7
201102,36.4,-1.7
201103,39.4,-1.6
201104,41.3,-4.3
201105,47.6,-4.5
201106,56.5,-2.1
201107,63.8,-2.7
201108,67.7,1.6
201109,65.7,5.2
201110,51.6,0.3
201111,40.3,-0.5
201112,36.7,1.1
201201,37.8,2.8
201202,37.9,-0.2
201203,38.7,-2.3
201204,46.8,1.2
201205,53.0,0.9
201206,56.0,-2.6
201207,66.3,-0.2
201208,70.2,4.1
201209,66.1,5.6
201210,53.0,1.7
201211,43.2,2.4
201212,34.1,-1.5
201301,35.8,0.8
201302,37.8,-0.3
201303,43.8,2.8
201304,47.3,1.7
201305,54.3,2.2
201306,61.0,2.4
201307,71.7,5.2
201308,67.4,1.3
201309,60.3,-0.2
201310,50.1,-1.2
201311,43.1,2.3
201312,34.5,-1.1
201401,41.8,6.8
201402,40.5,2.4
201403,44.5,3.5
201404,48.4,2.8
201405,55.3,3.2
201406,59.9,1.3
201407,72.6,6.1
201408,69.5,3.4
201409,64.7,4.2
201410,55.1,3.8
201411,44.0,3.2
201412,40.5,4.9
201501,43.2,8.2
201502,44.8,6.7
201503,48.2,7.2
201504,46.6,1.0
201505,54.9,2.8
201506,67.1,8.5
201507,70.4,3.9
201508,68.9,2.8
201509,61.4,0.9
201510,57.5,6.2
201511,39.7,-1.1
201512,36.1,0.5
201601,37.5,2.5
201602,43.3,5.2
201603,43.2,2.2
201604,51.4,5.8
201605,55.3,3.2
201606,62.1,3.5
201607,66.2,-0.3
201608,70.3,4.2
201609,60.5,0.0
201610,49.2,-2.1
201611,45.1,4.3
201612,33.0,-2.6
201701,33.9,-1.1
201702,39.0,0.9
201703,43.0,2.0
201704,44.3,-1.3
201705,55.3,3.2
201706,61.7,3.1
201707,70.5,4.0
201708,72.0,5.9
201709,62.1,1.6
201710,51.3,0.0
201711,41.5,0.7
201712,38.6,3.0
201801,40.8,5.8
201802,37.1,-1.0
201803,40.6,-0.4
201804,46.5,0.9
201805,56.5,4.4
201806,60.1,1.5
201807,70.9,4.4
201808,68.6,2.5
201809,60.5,0.0
201810,52.8,1.5
201811,44.2,3.4
201812,36.6,1.0
201901,40.2,5.2
201902,32.6,-5.5
201903,41.1,0.1
201904,48.7,3.1
201905,54.2,2.1
201906,61.5,2.9
201907,66.5,0.0
201908,69.2,3.1
201909,59.1,-1.4
201910,47.9,-3.4
201911,44.8,4.0
201912,37.8,2.2
202001,37.8,2.8
