Pennington County, South Dakota, Average Temperature
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
200001,25.9,6.0
200002,32.8,9.3
200003,39.0,7.1
200004,43.4,-0.1
200005,56.0,2.1
200006,62.7,-0.9
200007,72.1,1.0
200008,73.5,4.2
200009,62.2,3.2
200010,49.3,2.0
200011,25.6,-7.2
200012,16.5,-6.8
200101,28.4,8.5
200102,17.3,-6.2
200103,34.0,2.1
200104,45.7,2.2
200105,55.8,1.9
200106,64.0,0.4
200107,73.6,2.5
200108,73.2,3.9
200109,62.0,3.0
200110,47.2,-0.1
200111,39.6,6.8
200112,27.6,4.3
200201,26.6,6.7
200202,30.3,6.8
200203,22.6,-9.3
200204,43.6,0.1
200205,50.9,-3.0
200206,68.4,4.8
200207,76.5,5.4
200208,69.6,0.3
200209,61.0,2.0
200210,39.0,-8.3
200211,36.1,3.3
200212,30.3,7.0
200301,25.4,5.5
200302,21.9,-1.6
200303,34.1,2.2
200304,47.1,3.6
200305,53.7,-0.2
200306,60.8,-2.8
200307,75.0,3.9
200308,74.8,5.5
200309,58.4,-0.6
200310,51.9,4.6
200311,27.9,-4.9
200312,29.1,5.8
200401,22.0,2.1
200402,27.4,3.9
200403,39.9,8.0
200404,47.4,3.9
200405,54.6,0.7
200406,60.2,-3.4
200407,70.5,-0.6
200408,65.7,-3.6
200409,61.0,2.0
200410,48.6,1.3
200411,36.3,3.5
200412,30.8,7.5
200501,22.0,2.1
200502,32.2,8.7
200503,36.5,4.6
200504,46.5,3.0
200505,51.9,-2.0
200506,65.4,1.8
200507,73.8,2.7
200508,69.9,0.6
200509,64.0,5.0
200510,48.9,1.6
200511,38.1,5.3
200512,23.4,0.1
200601,35.3,15.4
200602,25.3,1.8
200603,32.6,0.7
200604,48.6,5.1
200605,56.6,2.7
200606,68.4,4.8
200607,77.5,6.4
200608,71.2,1.9
200609,55.8,-3.2
200610,44.4,-2.9
200611,34.9,2.1
200612,28.5,5.2
200701,24.1,4.2
200702,20.0,-3.5
200703,43.1,11.2
200704,42.5,-1.0
200705,57.7,3.8
200706,67.1,3.5
200707,77.0,5.9
200708,72.0,2.7
200709,62.2,3.2
200710,49.2,1.9
200711,36.2,3.4
200712,21.9,-1.4
200801,20.2,0.3
200802,24.1,0.6
200803,34.1,2.2
200804,41.4,-2.1
200805,50.4,-3.5
200806,61.1,-2.5
200807,70.9,-0.2
200808,70.2,0.9
200809,58.5,-0.5
200810,46.6,-0.7
200811,36.3,3.5
200812,18.2,-5.1
200901,24.3,4.4
200902,28.5,5.0
200903,32.7,0.8
200904,40.4,-3.1
200905,54.0,0.1
200906,60.0,-3.6
200907,67.2,-3.9
200908,66.7,-2.6
200909,62.1,3.1
200910,38.2,-9.1
200911,40.5,7.7
200912,15.7,-7.6
201001,21.4,1.5
201002,18.9,-4.6
201003,37.7,5.8
201004,45.8,2.3
201005,51.0,-2.9
201006,62.8,-0.8
201007,70.2,-0.9
201008,72.0,2.7
201009,59.3,0.3
201010,52.3,5.0
201011,31.9,-0.9
201012,23.3,0.0
201101,19.5,-0.4
201102,19.2,-4.3
201103,31.0,-0.9
201104,42.8,-0.7
201105,49.8,-4.1
201106,62.3,-1.3
201107,74.0,2.9
201108,71.4,2.1
201109,59.9,0.9
201110,50.2,2.9
201111,33.7,0.9
201112,28.0,4.7
201201,28.7,8.8
201202,26.7,3.2
201203,47.2,15.3
201204,49.8,6.3
201205,55.7,1.8
201206,69.4,5.8
201207,77.4,6.3
201208,71.1,1.8
201209,63.3,4.3
201210,45.8,-1.5
201211,37.2,4.4
201212,25.0,1.7
201301,24.1,4.2
201302,28.7,5.2
201303,33.4,1.5
201304,36.8,-6.7
201305,54.6,0.7
201306,63.5,-0.1
201307,71.6,0.5
201308,71.1,1.8
201309,64.6,5.6
201310,42.7,-4.6
201311,33.9,1.1
201312,18.2,-5.1
201401,25.2,5.3
201402,18.5,-5.0
201403,31.7,-0.2
201404,43.0,-0.5
201405,53.6,-0.3
201406,61.0,-2.6
201407,69.2,-1.9
201408,69.1,-0.2
201409,59.3,0.3
201410,50.7,3.4
201411,27.6,-5.2
201412,27.7,4.4
201501,27.2,7.3
201502,26.9,3.4
201503,41.0,9.1
201504,45.5,2.0
201505,50.5,-3.4
201506,65.7,2.1
201507,70.2,-0.9
201508,69.4,0.1
201509,64.9,5.9
201510,51.2,3.9
201511,35.1,2.3
201512,25.7,2.4
201601,24.3,4.4
201602,35.0,11.5
201603,40.6,8.7
201604,46.0,2.5
201605,53.6,-0.3
201606,69.9,6.3
201607,71.8,0.7
201608,69.5,0.2
201609,61.1,2.1
201610,52.3,5.0
201611,42.8,10.0
201612,16.7,-6.6
201701,18.8,-1.1
201702,31.7,8.2
201703,39.1,7.2
201704,45.2,1.7
201705,54.3,0.4
201706,66.5,2.9
201707,75.9,4.8
201708,68.0,-1.3
201709,60.5,1.5
201710,47.1,-0.2
201711,37.4,4.6
201712,24.6,1.3
201801,23.3,3.4
201802,14.0,-9.5
201803,32.8,0.9
201804,38.7,-4.8
201805,59.0,5.1
201806,66.5,2.9
201807,70.7,-0.4
201808,68.3,-1.0
201809,60.6,1.6
201810,43.1,-4.2
201811,32.1,-0.7
201812,26.9,3.6
201901,25.3,5.4
201902,9.6,-13.9
201903,27.9,-4.0
201904,44.1,0.6
201905,47.3,-6.6
201906,63.0,-0.6
201907,70.0,-1.1
201908,67.6,-1.7
201909,61.7,2.7
201910,38.6,-8.7
201911,32.3,-0.5
201912,28.2,4.9
202001,26.2,6.3
