Shelby County, Tennessee, Average Temperature
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
200001,41.8,2.2
200002,48.7,5.6
200003,55.8,4.3
200004,59.5,-1.7
200005,73.0,3.0
200006,77.7,-0.3
200007,81.5,0.3
200008,83.6,3.9
200009,74.1,0.6
200010,65.8,3.3
200011,49.2,-1.4
200012,32.1,-10.1
200101,36.7,-2.9
200102,47.1,4.0
200103,48.0,-3.5
200104,66.8,5.6
200105,71.7,1.7
200106,76.6,-1.4
200107,82.3,1.1
200108,81.1,1.4
200109,72.0,-1.5
200110,60.2,-2.3
200111,56.2,5.6
200112,46.9,4.7
200201,43.9,4.3
200202,43.3,0.2
200203,49.4,-2.1
200204,64.9,3.7
200205,68.1,-1.9
200206,79.0,1.0
200207,81.9,0.7
200208,80.7,1.0
200209,76.2,2.7
200210,62.3,-0.2
200211,48.2,-2.4
200212,42.9,0.7
200301,35.8,-3.8
200302,40.3,-2.8
200303,52.8,1.3
200304,62.5,1.3
200305,70.9,0.9
200306,74.3,-3.7
200307,80.4,-0.8
200308,80.7,1.0
200309,71.0,-2.5
200310,62.9,0.4
200311,55.3,4.7
200312,42.8,0.6
200401,40.9,1.3
200402,41.9,-1.2
200403,56.4,4.9
200404,60.5,-0.7
200405,73.2,3.2
200406,77.6,-0.4
200407,79.1,-2.1
200408,75.9,-3.8
200409,73.6,0.1
200410,66.4,3.9
200411,56.1,5.5
200412,41.5,-0.7
200501,45.4,5.8
200502,47.9,4.8
200503,51.0,-0.5
200504,61.7,0.5
200505,68.7,-1.3
200506,78.7,0.7
200507,81.0,-0.2
200508,83.2,3.5
200509,76.9,3.4
200510,62.2,-0.3
200511,54.6,4.0
200512,39.7,-2.5
200601,47.9,8.3
200602,40.3,-2.8
200603,53.4,1.9
200604,67.2,6.0
200605,70.9,0.9
200606,77.8,-0.2
200607,82.1,0.9
200608,83.0,3.3
200609,71.0,-2.5
200610,60.5,-2.0
200611,50.8,0.2
200612,46.3,4.1
200701,41.7,2.1
200702,40.5,-2.6
200703,61.4,9.9
200704,58.9,-2.3
200705,73.2,3.2
200706,80.0,2.0
200707,80.1,-1.1
200708,86.2,6.5
200709,76.4,2.9
200710,65.9,3.4
200711,52.9,2.3
200712,46.0,3.8
200801,39.1,-0.5
200802,44.2,1.1
200803,52.2,0.7
200804,59.7,-1.5
200805,69.6,-0.4
200806,79.6,1.6
200807,81.6,0.4
200808,78.6,-1.1
200809,73.2,-0.3
200810,61.2,-1.3
200811,48.9,-1.7
200812,41.9,-0.3
200901,38.0,-1.6
200902,46.5,3.4
200903,53.1,1.6
200904,60.5,-0.7
200905,69.9,-0.1
200906,79.9,1.9
200907,77.7,-3.5
200908,77.9,-1.8
200909,73.9,0.4
200910,59.1,-3.4
200911,54.0,3.4
200912,39.5,-2.7
201001,36.0,-3.6
201002,35.8,-7.3
201003,50.9,-0.6
201004,65.0,3.8
201005,73.3,3.3
201006,83.3,5.3
201007,83.0,1.8
201008,84.2,4.5
201009,76.3,2.8
201010,63.4,0.9
201011,52.7,2.1
201012,38.1,-4.1
201101,37.7,-1.9
201102,45.9,2.8
201103,52.9,1.4
201104,64.5,3.3
201105,68.7,-1.3
201106,82.4,4.4
201107,84.4,3.2
201108,81.8,2.1
201109,71.3,-2.2
201110,60.4,-2.1
201111,54.2,3.6
201112,44.3,2.1
201201,45.9,6.3
201202,47.6,4.5
201203,63.4,11.9
201204,64.0,2.8
201205,74.4,4.4
201206,77.9,-0.1
201207,83.8,2.6
