Angelina County, Texas, Average Temperature
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
200001,51.9,3.6
200002,58.6,6.9
200003,63.6,5.2
200004,64.7,-1.2
200005,76.2,3.1
200006,79.8,0.1
200007,84.1,1.6
200008,85.1,2.7
200009,78.1,0.9
200010,68.8,1.4
200011,54.1,-2.7
200012,42.8,-7.0
200101,44.7,-3.6
200102,55.4,3.7
200103,53.3,-5.1
200104,69.5,3.6
200105,74.6,1.5
200106,77.9,-1.8
200107,83.4,0.9
200108,82.5,0.1
200109,74.9,-2.3
200110,63.6,-3.8
200111,60.6,3.8
200112,52.3,2.5
200201,50.5,2.2
200202,47.7,-4.0
200203,57.6,-0.8
200204,70.2,4.3
200205,74.4,1.3
200206,79.2,-0.5
200207,82.2,-0.3
200208,82.7,0.3
200209,77.9,0.7
200210,67.5,0.1
200211,54.2,-2.6
200212,49.7,-0.1
200301,45.8,-2.5
200302,49.7,-2.0
200303,57.5,-0.9
200304,67.5,1.6
200305,76.4,3.3
200306,79.7,0.0
200307,81.9,-0.6
200308,83.1,0.7
200309,75.1,-2.1
200310,67.8,0.4
200311,61.3,4.5
200312,49.2,-0.6
200401,49.9,1.6
200402,48.2,-3.5
200403,63.5,5.1
200404,66.3,0.4
200405,74.6,1.5
200406,79.1,-0.6
200407,81.7,-0.8
200408,80.1,-2.3
200409,77.4,0.2
200410,74.0,6.6
200411,60.2,3.4
200412,50.0,0.2
200501,53.0,4.7
200502,54.7,3.0
200503,58.0,-0.4
200504,64.8,-1.1
200505,72.5,-0.6
200506,81.7,2.0
200507,83.3,0.8
200508,83.8,1.4
200509,82.3,5.1
200510,66.4,-1.0
200511,61.2,4.4
200512,48.8,-1.0
200601,54.6,6.3
200602,50.0,-1.7
200603,62.3,3.9
200604,71.3,5.4
200605,74.5,1.4
200606,79.6,-0.1
200607,82.6,0.1
200608,84.5,2.1
200609,76.7,-0.5
200610,67.6,0.2
200611,58.3,1.5
200612,51.1,1.3
200701,46.7,-1.6
200702,50.2,-1.5
200703,63.7,5.3
200704,63.3,-2.6
200705,73.9,0.8
200706,80.2,0.5
200707,80.4,-2.1
200708,83.9,1.5
200709,79.0,1.8
200710,69.8,2.4
200711,59.8,3.0
200712,53.4,3.6
200801,47.7,-0.6
200802,54.8,3.1
200803,60.3,1.9
200804,66.4,0.5
200805,73.6,0.5
200806,81.7,2.0
200807,83.6,1.1
200808,82.5,0.1
200809,75.4,-1.8
200810,65.7,-1.7
200811,57.6,0.8
200812,50.1,0.3
200901,49.6,1.3
200902,56.8,5.1
200903,59.0,0.6
200904,64.7,-1.2
200905,75.0,1.9
200906,82.4,2.7
200907,85.1,2.6
200908,83.6,1.2
200909,76.2,-1.0
200910,66.1,-1.3
200911,58.9,2.1
200912,46.4,-3.4
201001,45.7,-2.6
201002,44.5,-7.2
201003,55.1,-3.3
201004,67.4,1.5
201005,77.6,4.5
201006,83.7,4.0
201007,84.1,1.6
201008,87.2,4.8
201009,80.0,2.8
201010,68.6,1.2
201011,58.7,1.9
201012,50.0,0.2
201101,45.8,-2.5
201102,51.4,-0.3
201103,62.3,3.9
201104,71.2,5.3
201105,74.0,0.9
201106,84.6,4.9
201107,86.5,4.0
201108,89.4,7.0
201109,78.7,1.5
201110,67.0,-0.4
201111,59.3,2.5
201112,49.6,-0.2
201201,53.8,5.5
201202,54.9,3.2
201203,66.5,8.1
201204,70.5,4.6
201205,76.4,3.3
201206,81.5,1.8
201207,82.6,0.1
201208,84.5,2.1
201209,77.8,0.6
201210,66.2,-1.2
201211,58.3,1.5
201212,54.4,4.6
201301,51.5,3.2
201302,54.1,2.4
201303,57.1,-1.3
201304,64.8,-1.1
201305,73.0,-0.1
201306,81.8,2.1
201307,81.9,-0.6
201308,84.1,1.7
201309,80.4,3.2
201310,68.0,0.6
201311,53.6,-3.2
201312,48.2,-1.6
201401,43.8,-4.5
201402,49.8,-1.9
201403,54.6,-3.8
201404,65.0,-0.9
201405,71.2,-1.9
201406,79.4,-0.3
201407,80.7,-1.8
201408,82.0,-0.4
201409,78.2,1.0
201410,69.2,1.8
201411,53.0,-3.8
201412,52.2,2.4
201501,45.9,-2.4
201502,48.0,-3.7
201503,57.6,-0.8
201504,69.1,3.2
201505,73.6,0.5
201506,80.3,0.6
201507,84.3,1.8
201508,83.2,0.8
201509,79.1,1.9
201510,70.0,2.6
201511,61.2,4.4
201512,56.0,6.2
201601,48.1,-0.2
201602,54.6,2.9
201603,62.7,4.3
201604,67.4,1.5
201605,72.0,-1.1
201606,80.2,0.5
201607,84.6,2.1
201608,82.8,0.4
201609,79.5,2.3
201610,70.8,3.4
201611,62.5,5.7
201612,53.1,3.3
201701,55.4,7.1
201702,61.8,10.1
201703,64.0,5.6
201704,67.9,2.0
201705,71.3,-1.8
201706,79.2,-0.5
201707,83.1,0.6
201708,80.9,-1.5
201709,76.5,-0.7
201710,67.4,0.0
201711,62.5,5.7
201712,48.8,-1.0
201801,43.3,-5.0
201802,56.9,5.2
201803,63.4,5.0
201804,62.4,-3.5
201805,77.0,3.9
201806,82.8,3.1
201807,83.7,1.2
201808,82.7,0.3
201809,79.1,1.9
201810,68.4,1.0
201811,53.4,-3.4
201812,49.9,0.1
201901,48.6,0.3
201902,54.3,2.6
201903,56.8,-1.6
201904,64.4,-1.5
201905,75.0,1.9
201906,79.2,-0.5
201907,81.8,-0.7
201908,84.3,1.9
201909,81.7,4.5
201910,67.6,0.2
201911,55.7,-1.1
201912,52.8,3.0
202001,52.8,4.5
