Aransas County, Texas, Average Temperature
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
200001,61.0,6.7
200002,64.8,7.5
200003,69.6,6.4
200004,71.9,1.5
200005,79.6,3.2
200006,82.7,1.0
200007,84.1,0.5
200008,84.5,0.7
200009,81.6,1.2
200010,74.8,1.7
200011,62.3,-1.4
200012,51.8,-4.8
200101,52.7,-1.6
200102,61.0,3.7
200103,60.1,-3.1
200104,72.9,2.5
200105,77.9,1.5
200106,82.3,0.6
200107,84.2,0.6
200108,84.7,0.9
200109,79.6,-0.8
200110,72.8,-0.3
200111,67.1,3.4
200112,58.9,2.3
200201,57.9,3.6
200202,53.9,-3.4
200203,62.8,-0.4
200204,74.9,4.5
200205,78.7,2.3
200206,83.0,1.3
200207,83.7,0.1
200208,84.7,0.9
200209,80.1,-0.3
200210,74.4,1.3
200211,62.1,-1.6
200212,57.6,1.0
200301,52.9,-1.4
200302,56.3,-1.0
200303,62.4,-0.8
200304,70.2,-0.2
200305,79.9,3.5
200306,82.6,0.9
200307,82.8,-0.8
200308,83.9,0.1
200309,78.9,-1.5
200310,73.3,0.2
200311,67.9,4.2
200312,58.2,1.6
200401,57.7,3.4
200402,56.6,-0.7
200403,68.7,5.5
200404,70.2,-0.2
200405,76.0,-0.4
200406,81.4,-0.3
200407,83.7,0.1
200408,83.9,0.1
200409,81.3,0.9
200410,78.8,5.7
200411,66.8,3.1
200412,55.6,-1.0
200501,58.9,4.6
200502,60.8,3.5
200503,64.7,1.5
200504,70.7,0.3
200505,76.4,0.0
200506,83.1,1.4
200507,84.8,1.2
200508,86.0,2.2
200509,83.8,3.4
200510,73.7,0.6
200511,66.9,3.2
200512,56.2,-0.4
200601,60.7,6.4
200602,58.5,1.2
200603,69.1,5.9
200604,75.2,4.8
200605,79.1,2.7
200606,81.5,-0.2
200607,83.0,-0.6
200608,85.2,1.4
200609,80.1,-0.3
200610,75.0,1.9
200611,67.4,3.7
200612,58.1,1.5
200701,51.8,-2.5
200702,57.8,0.5
200703,68.1,4.9
200704,68.6,-1.8
200705,77.4,1.0
200706,82.2,0.5
200707,81.6,-2.0
200708,84.6,0.8
200709,82.2,1.8
200710,75.4,2.3
200711,66.2,2.5
200712,61.2,4.6
200801,55.4,1.1
200802,63.2,5.9
200803,65.4,2.2
200804,71.8,1.4
200805,79.3,2.9
200806,83.8,2.1
200807,83.0,-0.6
200808,83.9,0.1
200809,79.9,-0.5
200810,72.5,-0.6
200811,66.6,2.9
200812,58.4,1.8
200901,57.3,3.0
200902,63.9,6.6
200903,65.6,2.4
200904,72.4,2.0
200905,78.8,2.4
200906,83.8,2.1
200907,86.0,2.4
200908,86.2,2.4
200909,80.8,0.4
200910,74.6,1.5
200911,65.0,1.3
200912,52.1,-4.5
201001,52.7,-1.6
201002,52.2,-5.1
201003,62.0,-1.2
201004,70.8,0.4
201005,79.3,2.9
201006,84.3,2.6
201007,84.5,0.9
201008,86.2,2.4
201009,81.0,0.6
201010,73.7,0.6
201011,65.2,1.5
201012,58.9,2.3
201101,54.6,0.3
201102,57.4,0.1
201103,68.3,5.1
201104,74.3,3.9
201105,77.6,1.2
201106,83.9,2.2
201107,85.8,2.2
201108,87.1,3.3
201109,83.2,2.8
201110,74.6,1.5
201111,66.5,2.8
201112,57.9,1.3
201201,60.3,6.0
201202,61.0,3.7
201203,69.3,6.1
201204,74.8,4.4
201205,79.1,2.7
201206,84.0,2.3
201207,83.9,0.3
201208,85.3,1.5
201209,81.3,0.9
201210,75.3,2.2
201211,67.8,4.1
201212,62.8,6.2
201301,57.4,3.1
201302,62.6,5.3
201303,64.4,1.2
201304,68.6,-1.8
201305,76.4,0.0
201306,84.0,2.3
201307,84.3,0.7
201308,84.6,0.8
201309,82.5,2.1
201310,75.6,2.5
201311,61.9,-1.8
201312,54.3,-2.3
201401,54.2,-0.1
201402,55.8,-1.5
201403,60.7,-2.5
201404,71.0,0.6
201405,75.4,-1.0
201406,83.9,2.2
201407,84.2,0.6
201408,85.7,1.9
201409,81.9,1.5
201410,76.6,3.5
201411,61.1,-2.6
201412,60.4,3.8
201501,51.5,-2.8
201502,56.0,-1.3
201503,62.2,-1.0
201504,73.0,2.6
201505,78.8,2.4
201506,83.1,1.4
201507,85.3,1.7
201508,85.0,1.2
201509,82.1,1.7
201510,75.9,2.8
201511,68.0,4.3
201512,62.4,5.8
201601,55.5,1.2
201602,62.5,5.2
201603,69.1,5.9
201604,72.8,2.4
201605,77.9,1.5
201606,82.8,1.1
201607,86.1,2.5
201608,85.3,1.5
201609,83.7,3.3
201610,78.3,5.2
201611,71.1,7.4
201612,61.3,4.7
201701,61.2,6.9
201702,68.2,10.9
201703,70.4,7.2
201704,74.0,3.6
201705,78.3,1.9
201706,83.8,2.1
201707,85.8,2.2
201708,86.0,2.2
201709,81.4,1.0
201710,73.2,0.1
201711,69.4,5.7
201712,56.4,-0.2
201801,51.9,-2.4
201802,62.2,4.9
201803,68.9,5.7
201804,68.9,-1.5
201805,79.6,3.2
201806,84.2,2.5
201807,83.8,0.2
201808,84.8,1.0
201809,81.1,0.7
201810,73.6,0.5
201811,61.2,-2.5
201812,58.5,1.9
201901,56.2,1.9
201902,60.0,2.7
201903,62.5,-0.7
201904,70.2,-0.2
201905,78.7,2.3
201906,83.4,1.7
201907,84.7,1.1
201908,86.1,2.3
201909,84.9,4.5
201910,74.8,1.7
201911,61.6,-2.1
201912,59.0,2.4
202001,61.9,7.6
