Amelia County, Virginia, Average Temperature
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
200001,35.6,-1.2
200002,42.9,4.3
200003,51.9,5.1
200004,55.6,-0.3
200005,67.3,2.2
200006,74.5,1.6
200007,73.9,-3.1
200008,74.3,-0.9
200009,66.9,-2.0
200010,59.0,1.5
200011,45.1,-2.2
200012,31.8,-6.8
200101,36.6,-0.2
200102,42.8,4.2
200103,44.1,-2.7
200104,57.9,2.0
200105,64.4,-0.7
200106,72.9,0.0
200107,72.9,-4.1
200108,76.7,1.5
200109,66.7,-2.2
200110,57.2,-0.3
200111,53.0,5.7
200112,45.3,6.7
200201,41.4,4.6
200202,42.8,4.2
200203,47.8,1.0
200204,59.5,3.6
200205,64.1,-1.0
200206,75.1,2.2
200207,78.7,1.7
200208,78.0,2.8
200209,70.2,1.3
200210,59.0,1.5
200211,46.3,-1.0
200212,37.2,-1.4
200301,33.3,-3.5
200302,36.4,-2.2
200303,49.0,2.2
200304,55.9,0.0
200305,63.0,-2.1
200306,70.7,-2.2
200307,76.6,-0.4
200308,77.4,2.2
200309,68.5,-0.4
200310,56.6,-0.9
200311,53.0,5.7
200312,38.7,0.1
200401,33.6,-3.2
200402,37.9,-0.7
200403,49.6,2.8
200404,57.2,1.3
200405,71.0,5.9
200406,72.8,-0.1
200407,76.6,-0.4
200408,73.6,-1.6
200409,69.3,0.4
200410,58.0,0.5
200411,50.7,3.4
200412,40.3,1.7
200501,39.3,2.5
200502,41.2,2.6
200503,43.7,-3.1
200504,57.3,1.4
200505,61.7,-3.4
200506,73.8,0.9
200507,79.8,2.8
200508,78.1,2.9
200509,73.2,4.3
200510,59.5,2.0
200511,50.5,3.2
200512,37.5,-1.1
200601,44.8,8.0
200602,40.0,1.4
200603,47.8,1.0
200604,59.6,3.7
200605,62.6,-2.5
200606,72.7,-0.2
200607,77.9,0.9
200608,79.0,3.8
200609,66.7,-2.2
200610,55.5,-2.0
200611,50.4,3.1
200612,45.0,6.4
200701,41.9,5.1
200702,35.0,-3.6
200703,51.5,4.7
200704,56.0,0.1
200705,66.2,1.1
200706,73.6,0.7
200707,76.2,-0.8
200708,79.2,4.0
200709,71.1,2.2
200710,64.4,6.9
200711,48.2,0.9
200712,43.0,4.4
200801,38.8,2.0
200802,42.6,4.0
200803,49.7,2.9
200804,57.4,1.5
200805,62.9,-2.2
200806,76.7,3.8
200807,77.3,0.3
200808,75.0,-0.2
200809,69.8,0.9
200810,56.2,-1.3
200811,45.9,-1.4
200812,42.4,3.8
200901,34.7,-2.1
200902,41.8,3.2
200903,46.3,-0.5
200904,57.7,1.8
200905,66.4,1.3
200906,73.3,0.4
200907,74.1,-2.9
200908,77.6,2.4
200909,68.0,-0.9
200910,56.6,-0.9
200911,51.2,3.9
200912,37.6,-1.0
201001,34.8,-2.0
201002,34.5,-4.1
201003,49.8,3.0
201004,60.8,4.9
201005,67.8,2.7
201006,78.5,5.6
201007,80.4,3.4
201008,77.6,2.4
201009,71.9,3.0
201010,59.7,2.2
201011,47.4,0.1
201012,32.3,-6.3
201101,34.5,-2.3
201102,43.2,4.6
201103,48.2,1.4
201104,60.3,4.4
201105,66.4,1.3
201106,75.2,2.3
201107,79.9,2.9
201108,76.7,1.5
201109,70.2,1.3
201110,57.3,-0.2
201111,51.4,4.1
201112,44.7,6.1
201201,40.7,3.9
201202,44.2,5.6
201203,57.1,10.3
201204,57.5,1.6
201205,68.7,3.6
201206,71.9,-1.0
201207,81.7,4.7
201208,76.4,1.2
201209,69.0,0.1
201210,57.9,0.4
201211,44.1,-3.2
201212,45.0,6.4
201301,39.5,2.7
201302,38.5,-0.1
201303,41.4,-5.4
201304,58.3,2.4
201305,64.4,-0.7
201306,74.1,1.2
201307,77.4,0.4
201308,73.3,-1.9
201309,67.7,-1.2
201310,59.0,1.5
201311,46.0,-1.3
201312,42.5,3.9
201401,32.0,-4.8
201402,38.9,0.3
201403,41.8,-5.0
201404,56.7,0.8
201405,67.4,2.3
201406,74.1,1.2
201407,76.0,-1.0
201408,73.0,-2.2
201409,70.0,1.1
201410,59.5,2.0
201411,44.6,-2.7
201412,41.8,3.2
201501,35.8,-1.0
201502,31.6,-7.0
201503,45.9,-0.9
201504,58.2,2.3
201505,68.8,3.7
201506,75.2,2.3
201507,76.7,-0.3
201508,74.8,-0.4
201509,71.3,2.4
201510,57.4,-0.1
201511,52.8,5.5
201512,50.8,12.2
201601,35.2,-1.6
201602,41.0,2.4
201603,54.4,7.6
201604,56.5,0.6
201605,63.4,-1.7
201606,73.1,0.2
201607,79.0,2.0
201608,78.9,3.7
201609,73.6,4.7
201610,61.1,3.6
201611,49.1,1.8
201612,40.5,1.9
201701,41.1,4.3
201702,47.5,8.9
201703,48.2,1.4
201704,63.4,7.5
201705,65.5,0.4
201706,73.1,0.2
201707,79.3,2.3
201708,74.7,-0.5
201709,69.6,0.7
201710,62.6,5.1
201711,47.5,0.2
201712,39.0,0.4
201801,32.9,-3.9
201802,47.0,8.4
201803,42.8,-4.0
201804,54.8,-1.1
201805,71.8,6.7
201806,75.3,2.4
201807,76.9,-0.1
201808,77.6,2.4
201809,74.9,6.0
201810,60.7,3.2
201811,46.0,-1.3
201812,39.9,1.3
201901,38.3,1.5
201902,43.0,4.4
201903,44.9,-1.9
201904,60.6,4.7
201905,71.2,6.1
201906,73.4,0.5
201907,79.5,2.5
201908,77.5,2.3
201909,75.2,6.3
201910,62.3,4.8
201911,45.2,-2.1
201912,42.4,3.8
202001,41.4,4.6
