Benton County, Washington, Average Temperature
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
200001,34.1,3.8
200002,38.5,1.9
200003,44.4,-0.1
200004,53.9,2.3
200005,59.3,0.1
200006,66.6,0.5
200007,72.2,-0.4
200008,71.6,0.4
200009,62.2,-0.7
200010,51.0,-0.9
200011,34.8,-5.0
200012,30.7,-2.1
200101,33.3,3.0
200102,36.3,-0.3
200103,45.4,0.9
200104,50.1,-1.5
200105,60.3,1.1
200106,64.2,-1.9
200107,72.8,0.2
200108,73.9,2.7
200109,66.0,3.1
200110,51.8,-0.1
200111,42.1,2.3
200112,36.0,3.2
200201,37.4,7.1
200202,38.2,1.6
200203,41.8,-2.7
200204,51.5,-0.1
200205,57.5,-1.7
200206,67.6,1.5
200207,75.1,2.5
200208,70.8,-0.4
200209,63.8,0.9
200210,49.4,-2.5
200211,40.2,0.4
200212,37.5,4.7
200301,38.9,8.6
200302,39.6,3.0
200303,48.8,4.3
200304,51.8,0.2
200305,58.7,-0.5
200306,68.5,2.4
200307,76.0,3.4
200308,73.3,2.1
200309,66.2,3.3
200310,56.3,4.4
200311,37.5,-2.3
200312,34.2,1.4
200401,29.7,-0.6
200402,37.4,0.8
200403,49.4,4.9
200404,53.4,1.8
200405,59.6,0.4
200406,67.6,1.5
200407,75.6,3.0
200408,74.5,3.3
200409,63.6,0.7
200410,54.1,2.2
200411,40.4,0.6
200412,36.5,3.7
200501,31.8,1.5
200502,37.5,0.9
200503,48.2,3.7
200504,52.5,0.9
200505,61.9,2.7
200506,65.0,-1.1
200507,74.2,1.6
200508,73.5,2.3
200509,62.7,-0.2
200510,53.7,1.8
200511,39.1,-0.7
200512,28.6,-4.2
200601,39.8,9.5
200602,36.5,-0.1
200603,44.6,0.1
200604,51.5,-0.1
200605,59.8,0.6
200606,67.3,1.2
200607,76.8,4.2
200608,71.8,0.6
200609,64.0,1.1
200610,51.6,-0.3
200611,41.3,1.5
200612,30.5,-2.3
200701,30.1,-0.2
200702,38.2,1.6
200703,46.9,2.4
200704,51.0,-0.6
200705,60.2,1.0
200706,66.2,0.1
200707,77.1,4.5
200708,70.9,-0.3
200709,63.7,0.8
200710,50.9,-1.0
200711,39.8,0.0
200712,34.5,1.7
200801,29.9,-0.4
200802,40.7,4.1
200803,42.9,-1.6
200804,47.3,-4.3
200805,60.6,1.4
200806,64.6,-1.5
200807,73.8,1.2
200808,71.4,0.2
200809,63.1,0.2
200810,51.0,-0.9
200811,42.4,2.6
200812,27.1,-5.7
200901,32.8,2.5
200902,35.4,-1.2
200903,41.4,-3.1
200904,50.3,-1.3
200905,59.4,0.2
200906,68.4,2.3
200907,75.5,2.9
200908,73.6,2.4
200909,65.6,2.7
200910,49.3,-2.6
200911,41.1,1.3
200912,26.0,-6.8
201001,37.7,7.4
201002,41.4,4.8
201003,45.8,1.3
201004,51.2,-0.4
201005,55.8,-3.4
201006,64.2,-1.9
201007,72.8,0.2
201008,71.5,0.3
201009,63.9,1.0
201010,53.0,1.1
201011,38.2,-1.6
201012,33.7,0.9
201101,35.0,4.7
201102,36.3,-0.3
201103,44.1,-0.4
201104,47.1,-4.5
201105,55.4,-3.8
201106,64.0,-2.1
201107,69.3,-3.3
201108,73.6,2.4
201109,66.5,3.6
201110,53.2,1.3
201111,39.4,-0.4
201112,31.1,-1.7
201201,33.3,3.0
201202,37.9,1.3
201203,44.5,0.0
201204,52.6,1.0
201205,58.2,-1.0
201206,63.1,-3.0
201207,74.0,1.4
201208,73.2,2.0
201209,64.5,1.6
201210,51.7,-0.2
201211,42.5,2.7
201212,36.8,4.0
201301,30.7,0.4
201302,39.3,2.7
201303,45.3,0.8
201304,51.5,-0.1
201305,60.3,1.1
201306,66.5,0.4
201307,76.5,3.9
201308,74.1,2.9
201309,66.8,3.9
201310,49.5,-2.4
201311,38.2,-1.6
201312,27.4,-5.4
201401,34.3,4.0
201402,34.3,-2.3
201403,45.6,1.1
201404,52.4,0.8
201405,61.5,2.3
201406,66.6,0.5
201407,77.8,5.2
201408,75.1,3.9
201409,65.5,2.6
201410,57.3,5.4
201411,38.7,-1.1
201412,36.0,3.2
201501,34.8,4.5
201502,43.3,6.7
201503,49.4,4.9
201504,51.6,0.0
201505,63.1,3.9
201506,74.0,7.9
201507,77.2,4.6
201508,73.4,2.2
201509,62.6,-0.3
201510,57.1,5.2
201511,39.6,-0.2
201512,35.6,2.8
201601,34.2,3.9
201602,42.6,6.0
201603,46.8,2.3
201604,57.5,5.9
201605,62.3,3.1
201606,68.2,2.1
201607,72.8,0.2
201608,73.1,1.9
201609,62.9,0.0
201610,52.9,1.0
201611,46.2,6.4
201612,27.9,-4.9
201701,21.6,-8.7
201702,32.1,-4.5
201703,45.5,1.0
201704,50.3,-1.3
201705,60.2,1.0
201706,67.1,1.0
201707,76.3,3.7
201708,74.8,3.6
201709,64.9,2.0
201710,50.8,-1.1
201711,41.8,2.0
201712,30.7,-2.1
201801,37.8,7.5
201802,38.7,2.1
201803,43.5,-1.0
201804,51.7,0.1
201805,64.7,5.5
201806,66.8,0.7
201807,75.8,3.2
201808,72.8,1.6
201809,62.6,-0.3
201810,51.2,-0.7
201811,39.9,0.1
201812,36.4,3.6
201901,35.5,5.2
201902,25.9,-10.7
201903,36.1,-8.4
201904,53.2,1.6
201905,61.5,2.3
201906,68.3,2.2
201907,72.3,-0.3
201908,74.1,2.9
201909,64.0,1.1
201910,47.7,-4.2
201911,38.2,-1.6
201912,34.2,1.4
202001,38.7,8.4
