Grant County, Washington, Average Temperature
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
200001,28.8,2.9
200002,35.5,2.7
200003,42.2,0.4
200004,52.4,2.4
200005,57.5,-0.8
200006,65.6,0.4
200007,70.9,-1.3
200008,70.3,-0.4
200009,60.4,-1.6
200010,49.2,-1.0
200011,31.2,-5.6
200012,26.0,-2.8
200101,29.2,3.3
200102,31.4,-1.4
200103,43.0,1.2
200104,48.4,-1.6
200105,59.3,1.0
200106,62.6,-2.6
200107,71.5,-0.7
200108,73.1,2.4
200109,65.2,3.2
200110,49.4,-0.8
200111,41.0,4.2
200112,32.0,3.2
200201,33.8,7.9
200202,35.6,2.8
200203,38.9,-2.9
200204,49.2,-0.8
200205,55.6,-2.7
200206,66.6,1.4
200207,74.3,2.1
200208,70.2,-0.5
200209,62.2,0.2
200210,47.1,-3.1
200211,38.1,1.3
200212,35.0,6.2
200301,34.5,8.6
200302,37.5,4.7
200303,44.8,3.0
200304,49.2,-0.8
200305,57.0,-1.3
200306,68.3,3.1
200307,74.7,2.5
200308,72.1,1.4
200309,65.2,3.2
200310,54.4,4.2
200311,33.6,-3.2
200312,30.2,1.4
200401,27.1,1.2
200402,34.3,1.5
200403,46.8,5.0
200404,52.4,2.4
200405,57.9,-0.4
200406,66.9,1.7
200407,75.1,2.9
200408,73.7,3.0
200409,61.3,-0.7
200410,52.2,2.0
200411,37.9,1.1
200412,33.9,5.1
200501,27.1,1.2
200502,36.3,3.5
200503,45.5,3.7
200504,50.8,0.8
200505,60.5,2.2
200506,64.3,-0.9
200507,72.8,0.6
200508,72.6,1.9
200509,61.0,-1.0
200510,51.5,1.3
200511,35.8,-1.0
200512,25.4,-3.4
200601,35.4,9.5
200602,34.2,1.4
200603,42.0,0.2
200604,49.8,-0.2
200605,58.4,0.1
200606,66.2,1.0
200607,75.6,3.4
200608,71.2,0.5
200609,63.0,1.0
200610,49.9,-0.3
200611,36.5,-0.3
200612,27.3,-1.5
200701,26.0,0.1
200702,35.5,2.7
200703,44.3,2.5
200704,49.3,-0.7
200705,59.2,0.9
200706,64.6,-0.6
200707,76.2,4.0
200708,70.1,-0.6
200709,62.0,0.0
200710,48.4,-1.8
200711,36.7,-0.1
200712,28.9,0.1
200801,22.1,-3.8
200802,34.7,1.9
200803,40.3,-1.5
200804,44.9,-5.1
200805,60.2,1.9
200806,64.1,-1.1
200807,72.6,0.4
200808,70.6,-0.1
200809,62.7,0.7
200810,49.5,-0.7
200811,39.7,2.9
200812,23.3,-5.5
200901,26.2,0.3
200902,32.5,-0.3
200903,38.7,-3.1
200904,49.1,-0.9
200905,58.7,0.4
200906,67.3,2.1
200907,75.0,2.8
200908,72.2,1.5
200909,64.8,2.8
200910,46.7,-3.5
200911,38.5,1.7
200912,24.0,-4.8
201001,35.5,9.6
201002,40.1,7.3
201003,44.2,2.4
201004,50.0,0.0
201005,54.0,-4.3
201006,62.7,-2.5
201007,72.0,-0.2
201008,70.2,-0.5
201009,61.8,-0.2
201010,51.7,1.5
201011,34.2,-2.6
201012,29.3,0.5
201101,29.6,3.7
201102,32.0,-0.8
201103,41.8,0.0
201104,44.7,-5.3
201105,54.3,-4.0
201106,62.6,-2.6
201107,68.0,-4.2
201108,71.9,1.2
201109,65.9,3.9
201110,50.4,0.2
201111,35.7,-1.1
201112,28.7,-0.1
201201,28.3,2.4
201202,35.9,3.1
201203,41.9,0.1
201204,50.8,0.8
201205,57.3,-1.0
201206,62.5,-2.7
201207,73.6,1.4
201208,73.3,2.6
201209,64.0,2.0
201210,50.1,-0.1
201211,39.6,2.8
201212,32.8,4.0
201301,26.8,0.9
201302,36.8,4.0
201303,43.3,1.5
201304,49.9,-0.1
201305,59.3,1.0
201306,65.2,0.0
201307,76.0,3.8
201308,72.9,2.2
201309,65.0,3.0
201310,48.7,-1.5
201311,36.7,-0.1
201312,25.3,-3.5
201401,31.7,5.8
201402,29.9,-2.9
201403,43.0,1.2
201404,50.8,0.8
201405,60.6,2.3
201406,66.4,1.2
201407,77.0,4.8
201408,74.4,3.7
201409,64.6,2.6
201410,54.9,4.7
201411,36.3,-0.5
201412,34.1,5.3
201501,32.0,6.1
201502,41.8,9.0
201503,47.7,5.9
201504,50.2,0.2
201505,63.1,4.8
201506,74.0,8.8
201507,76.5,4.3
201508,73.1,2.4
201509,60.8,-1.2
201510,56.1,5.9
201511,36.7,-0.1
201512,30.2,1.4
201601,31.2,5.3
201602,40.1,7.3
201603,45.0,3.2
201604,56.7,6.7
201605,61.3,3.0
201606,67.0,1.8
201607,70.7,-1.5
201608,72.0,1.3
201609,60.9,-1.1
201610,50.2,0.0
201611,44.8,8.0
201612,23.8,-5.0
201701,21.0,-4.9
201702,28.4,-4.4
201703,42.3,0.5
201704,48.5,-1.5
201705,59.4,1.1
201706,66.2,1.0
201707,75.0,2.8
201708,75.0,4.3
201709,63.7,1.7
201710,48.4,-1.8
201711,38.3,1.5
201712,28.1,-0.7
201801,34.6,8.7
201802,34.7,1.9
201803,42.3,0.5
201804,49.7,-0.3
201805,64.4,6.1
201806,65.7,0.5
201807,75.1,2.9
201808,72.1,1.4
201809,60.5,-1.5
201810,49.6,-0.6
201811,38.6,1.8
201812,33.2,4.4
201901,33.0,7.1
201902,23.9,-8.9
201903,36.0,-5.8
201904,51.2,1.2
201905,61.3,3.0
201906,66.7,1.5
201907,70.8,-1.4
201908,73.2,2.5
201909,60.8,-1.2
201910,44.6,-5.6
201911,37.5,0.7
201912,31.8,3.0
202001,33.5,7.6
