Sweetwater County, Wyoming, Average Temperature
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
200001,24.0,6.4
200002,29.3,7.9
200003,32.5,3.4
200004,44.2,5.1
200005,53.0,3.9
200006,60.1,1.8
200007,68.8,2.9
200008,68.0,4.1
200009,53.4,-0.7
200010,42.7,0.1
200011,19.0,-9.5
200012,19.9,0.3
200101,17.6,0.0
200102,20.5,-0.9
200103,33.2,4.1
200104,41.6,2.5
200105,52.0,2.9
200106,60.8,2.5
200107,69.2,3.3
200108,67.5,3.6
200109,58.6,4.5
200110,44.3,1.7
200111,32.9,4.4
200112,17.7,-1.9
200201,18.2,0.6
200202,20.6,-0.8
200203,26.9,-2.2
200204,41.8,2.7
200205,49.2,0.1
200206,62.2,3.9
200207,71.0,5.1
200208,64.5,0.6
200209,55.6,1.5
200210,39.5,-3.1
200211,28.0,-0.5
200212,23.2,3.6
200301,27.8,10.2
200302,20.4,-1.0
200303,33.2,4.1
200304,42.3,3.2
200305,51.1,2.0
200306,57.6,-0.7
200307,71.9,6.0
200308,68.5,4.6
200309,54.4,0.3
200310,48.0,5.4
200311,24.4,-4.1
200312,22.9,3.3
200401,16.9,-0.7
200402,19.8,-1.6
200403,36.3,7.2
200404,42.8,3.7
200405,50.7,1.6
200406,58.2,-0.1
200407,65.8,-0.1
200408,61.9,-2.0
200409,54.1,0.0
200410,43.7,1.1
200411,29.8,1.3
200412,24.8,5.2
200501,24.9,7.3
200502,23.6,2.2
200503,31.9,2.8
200504,40.4,1.3
200505,49.3,0.2
200506,56.6,-1.7
200507,68.9,3.0
200508,63.6,-0.3
200509,55.1,1.0
200510,45.3,2.7
200511,31.9,3.4
200512,19.5,-0.1
200601,22.8,5.2
200602,20.5,-0.9
200603,30.0,0.9
200604,43.1,4.0
200605,52.0,2.9
200606,63.2,4.9
200607,70.4,4.5
200608,64.5,0.6
200609,51.9,-2.2
200610,41.1,-1.5
200611,30.9,2.4
200612,20.9,1.3
200701,13.0,-4.6
200702,26.2,4.8
200703,37.2,8.1
200704,42.0,2.9
200705,51.0,1.9
200706,62.4,4.1
200707,71.6,5.7
200708,67.2,3.3
200709,55.8,1.7
200710,44.4,1.8
200711,33.6,5.1
200712,17.0,-2.6
200801,13.1,-4.5
200802,21.0,-0.4
200803,26.6,-2.5
200804,35.3,-3.8
200805,47.4,-1.7
200806,57.6,-0.7
200807,68.5,2.6
200808,65.2,1.3
200809,53.8,-0.3
200810,43.5,0.9
200811,35.3,6.8
200812,20.5,0.9
200901,23.2,5.6
200902,25.6,4.2
200903,31.5,2.4
200904,39.4,0.3
200905,51.1,2.0
200906,55.9,-2.4
200907,65.3,-0.6
200908,62.6,-1.3
200909,57.6,3.5
200910,36.7,-5.9
200911,32.8,4.3
200912,14.5,-5.1
201001,20.6,3.0
201002,21.7,0.3
201003,33.0,3.9
201004,38.9,-0.2
201005,44.1,-5.0
201006,58.8,0.5
201007,66.6,0.7
201008,64.1,0.2
201009,57.2,3.1
201010,46.6,4.0
201011,28.7,0.2
201012,24.0,4.4
201101,19.6,2.0
201102,18.4,-3.0
201103,31.3,2.2
201104,37.0,-2.1
201105,44.8,-4.3
201106,56.9,-1.4
201107,66.9,1.0
201108,66.7,2.8
201109,56.8,2.7
201110,44.2,1.6
201111,27.0,-1.5
201112,18.9,-0.7
201201,25.1,7.5
201202,22.7,1.3
201203,38.2,9.1
201204,44.6,5.5
201205,51.5,2.4
201206,63.5,5.2
201207,70.0,4.1
201208,68.3,4.4
201209,57.7,3.6
201210,43.0,0.4
201211,35.4,6.9
201212,20.8,1.2
201301,15.9,-1.7
201302,21.8,0.4
201303,32.2,3.1
201304,35.8,-3.3
201305,50.7,1.6
201306,62.6,4.3
201307,69.1,3.2
201308,66.8,2.9
201309,56.8,2.7
201310,40.1,-2.5
201311,30.3,1.8
201312,17.6,-2.0
201401,24.0,6.4
201402,25.2,3.8
201403,34.2,5.1
201404,40.2,1.1
201405,51.5,2.4
201406,58.0,-0.3
201407,68.1,2.2
201408,62.6,-1.3
201409,57.0,2.9
201410,46.6,4.0
201411,29.1,0.6
201412,24.7,5.1
201501,27.5,9.9
201502,30.4,9.0
201503,37.9,8.8
201504,41.4,2.3
201505,47.2,-1.9
201506,64.2,5.9
201507,64.4,-1.5
201508,64.6,0.7
201509,59.0,4.9
201510,49.5,6.9
201511,28.3,-0.2
201512,18.6,-1.0
201601,18.0,0.4
201602,28.0,6.6
201603,33.9,4.8
201604,41.6,2.5
201605,47.5,-1.6
201606,63.9,5.6
201607,67.0,1.1
201608,63.8,-0.1
201609,55.4,1.3
201610,46.1,3.5
201611,35.4,6.9
201612,18.5,-1.1
201701,14.5,-3.1
201702,26.5,5.1
201703,37.9,8.8
201704,40.0,0.9
201705,49.6,0.5
201706,61.9,3.6
201707,69.5,3.6
201708,64.7,0.8
201709,54.5,0.4
201710,40.7,-1.9
201711,35.6,7.1
201712,26.4,6.8
201801,26.1,8.5
201802,23.6,2.2
201803,33.2,4.1
201804,41.4,2.3
201805,53.3,4.2
201806,62.3,4.0
201807,69.8,3.9
201808,65.4,1.5
201809,58.7,4.6
201810,41.4,-1.2
201811,27.9,-0.6
201812,18.6,-1.0
201901,18.7,1.1
201902,17.8,-3.6
201903,26.7,-2.4
201904,41.8,2.7
201905,45.2,-3.9
201906,57.6,-0.7
201907,67.6,1.7
201908,66.1,2.2
201909,56.8,2.7
201910,35.1,-7.5
201911,30.8,2.3
201912,18.4,-1.2
202001,20.9,3.3
